Unnamed: 0,tweet,tweet_processed,label
192,"Another -like drug that may hold out some hope for rapid treatment of  is lanicemine (Sanacora G, Mol Psychiatry. 2014)",another like drug that may hold out some hope for rapid treatment of be lanicemine sanacora g mol psychiatry,0
193,"Possible 2016 treatment breakthrough for  and suicidal thinking using ketamine & similar drugs? (Rajkumar R, Pharmacol Res, 2015)",possible treatment breakthrough for and suicidal thinking use ketamine similar drug rajkumar r pharmacol re,0
194,We offer  Therapy to our patients to treat  and other conditions. Contact us today to learn more.  pic.twitter.com/7AO84RAPNY,we offer therapy to our patient to treat and other condition contact u today to learn more,0
195,"RT keithllbllm Happy New Year- try to have more Worth Living moments of hope, health &  happiness.   pic.twitter.com/rez61PZZVj",keithllbllm happy new year try to have more worth living moment of hope health happiness,0
196,why doesnt she like meeeeeeeeeee,why doesnt she like meeeeeeeeeee,0
197,is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more!  ,be in the news a lot for treat and other condition but what be it contact u to learn more,0
198,"You can take steps at home to help your day to day , but we are also here to help. Contact us today.  pic.twitter.com/HFmoqiu7sU",you can take step at home to help your day to day but we be also here to help contact u today,0
201,I can still fucking hear you bitch.,i can still fuck hear you bitch,0
202,"Mom talks about suicides and ""how people are selfish and we should NOT go to their funerals"" and shuts my door.  ",mom talk about suicide and how people be selfish and we should not go to their funeral and shuts my door,0
203,"May the new year abound in Hs: Health, Hope, Healing, Happiness And H-coils!     ",may the new year abound in hs health hope heal happiness and hcoils,0
204,I'm welcoming  after my first full calendar year since overcoming . This year I go all the way to realms uncharted.,im welcoming after my first full calendar year since overcome this year i go all the way to realms uncharted,0
207,RT if you ever beat or battle with,if you ever beat or battle with,0
208,"If you are living with , , don't fall for the so-called ""cure"" peddlers here on Twitter. Seek professional medical help.",if you be live with dont fall for the socalled cure peddler here on twitter seek professional medical help,0
209,Already losing my mind. 6 weeks of this shit of no work or working out left.,already lose my mind week of this shit of no work or work out leave,0
210,RT AnotherAznTart I shared this last year but it still makes me giggle so I'll share it again. ?   ,anotherazntart i share this last year but it still make me giggle so ill share it again,0
211,Its only 3 oclock in the afternoon and its dark and raining  Like mad! I hate this so much!,it only oclock in the afternoon and it dark and rain like mad i hate this so much,0
213,"I'm now casting for potential  for my ""Learning to swim"" photography project about .  pic.twitter.com/rnJp6UX2eV",im now cast for potential for my learning to swim photography project about,0
216,is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more! ,be in the news a lot for treat and other condition but what be it contact u to learn more,0
218,: don't let other's emotions corrupt your mind; beacause that paves the path to,dont let others emotion corrupt your mind beacause that pave the path to,0
219,ok but real talk for a moment .... the thing with having depression from for so long from such a young age is that it's-,ok but real talk for a moment the thing with have depression from for so long from such a young age be that it,0
220,"To ppl tweeting ""The leading cause of depression is reality.""  How pithy. What know you of ? Show some empathy. Just stop it.",to ppl tweet the lead cause of depression be reality how pithy what know you of show some empathy just stop it,0
222,"another wee message - for those of us that feel a relapse over the holidays, you're not alone. I'm right there with you  ",another wee message for those of u that feel a relapse over the holiday youre not alone im right there with you,0
223,"If this is your response to someone saying they're dealing with , you're a terrible person.  ",if this be your response to someone say theyre deal with youre a terrible person,0
224,Just realised I haven't cleaned my teeth in days,just realise i havent clean my teeth in day,0
225,I have depression ? pff.....no.... . . . . . maybe...,i have depression pffno maybe,0
227," is serious, so let's treat it seriously. Don't just brush it off, tell someone, and if some one tells you, don't over react.",be serious so let treat it seriously dont just brush it off tell someone and if some one tell you dont over react,0
229,Happy new year - thank you for moving against  with us! ,happy new year thank you for move against with u,0
230,"New Years Eve,The day I always dread.???? ",new year evethe day i always dread,0
231,Sometimes it's songs in the dark in the smallest world possible that make all the difference.,sometimes it song in the dark in the small world possible that make all the difference,0
232,You must get up from right where you are. Do that and your battles are 70% over. let's talk,you must get up from right where you be do that and your battle be over let talk,0
235,Have you withdrawn from those in your camp or others around you? You could be in a depressed state of mind.,have you withdraw from those in your camp or others around you you could be in a depressed state of mind,0
237,What I feel like when I realize that there's no more Walking Dead until February 14th    ,what i feel like when i realize that theres no more walking dead until february th,0
238,why doesnt she like meeeeeeeeeee,why doesnt she like meeeeeeeeeee,0
240,I hate when the person you have a crush on has a girlfriend/boyfriend,i hate when the person you have a crush on have a girlfriendboyfriend,0
242,Just got some very unpleasant news about my uncle...I am so happy that Marijuana exists.,just get some very unpleasant news about my unclei be so happy that marijuana exists,0
243,"Deeper and deeper, the river flows downstream degrading even the strongest minerals.    ??",deeper and deeper the river flow downstream degrade even the strong mineral,0
246,: 1 in 4  businesses are forced out of business because of the ongoing Economic,in business be force out of business because of the ongoing economic,0
248,It's a  when your neighbor loses his job; it's a  when you lose yours.,it a when your neighbor lose his job it a when you lose yours,0
251,For all those out there suffering with  and or  this is for you ,for all those out there suffer with and or this be for you,0
253,Rt if you're a depression or Ed acc.  Follow everyone who RT's this!  I will too! Ready? GO!,rt if youre a depression or ed acc follow everyone who rts this i will too ready go,0
254,A whopping 9% of adults in America are depressed. Another 3.4% are deeply depressed. Let's Talk!,a whopping of adult in america be depress another be deeply depressed let talk,0
258,You don't have to be sad because of depression! Get help. Get clear!,you dont have to be sad because of depression get help get clear,0
261,I've never dream to love him,ive never dream to love him,0
262,"RT WeedFeed ""Physicians have Recommended  for the Treatment of  Since 1621 -    pic.twitter.com/LboHmD9dj9""",weedfeed physician have recommend for the treatment of since,0
263,"""Worrying does not empty tomorrow of its troubles, it empties today of its strength.""    ",worry do not empty tomorrow of it trouble it empty today of it strength,0
264,"""Anxiety is like a tornado, the most violent, horrific, and destructive atmospheric phenomenon""  ",anxiety be like a tornado the most violent horrific and destructive atmospheric phenomenon,0
265,I really wish I would have more time to draw blog  about . I'm sure they'd be helpful to many...,i really wish i would have more time to draw blog about im sure theyd be helpful to many,0
266,Holiday  and  is common. Design your own holiday celebration. ,holiday and be common design your own holiday celebration,0
268,is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more!  ,be in the news a lot for treat and other condition but what be it contact u to learn more,0
270,ur best is plenty good enough 4 anyone or anything that is meant 4U??Don't let ppl nor circumstances kill you??,ur best be plenty good enough anyone or anything that be meant udont let ppl nor circumstance kill you,0
271,RT talkspace  costs companies $52 billion/year in absenteeism & reduced productivity; results in 400 million lost work days/year,talkspace cost company 52 billionyear in absenteeism reduce productivity result in million lost work daysyear,0
272,"On topic of famous people , apparently stuff needs to be put in place for mental illness. What about non famous people ",on topic of famous people apparently stuff need to be put in place for mental illness what about non famous people,0
274,if i'd known it was going to go from 78 & sunny yesterday to 61 & cloudy today i still wouldn't have done anything differently ,if id know it be go to go from sunny yesterday to cloudy today i still wouldnt have do anything differently,0
275,"After reading about  in academia, I feel like secretly hanging up some posters about the topic around my old university ...",after read about in academia i feel like secretly hang up some poster about the topic around my old university,0
276,"You aren't worthless, you are priceless You are important to someone and they'd miss you if you were gone   ",you arent worthless you be priceless you be important to someone and theyd miss you if you be go,0
277,"We are open all through this  for info, advice or even a chat: 0800 4 70 80 90    pic.twitter.com/0g6kGdIoPI",we be open all through this for info advice or even a chat,0
278,"40billion:   a well written, thought-provoking & mind illuminating book to unite, connect & save humanity â¦",billion a well write thoughtprovoking mind illuminate book to unite connect save humanity,0
279,Happy New Year from !  We hope it is a year filled with joy and that we can work together to tackle  in Australia  pic.twitter.com/zMsgPqkfbi,happy new year from we hope it be a year fill with joy and that we can work together to tackle in australia,0
280,"""Beautiful, delightful, noble, memorable, as is the world, I yet am well content in my shady crevice"" Christina Rossetti  ",beautiful delightful noble memorable a be the world i yet be well content in my shady crevice christina rossetti,0
281,Loneliness causes so much pain. Besides it teaches u how to overcome all the pains.   pic.twitter.com/gZA1jsFI54,loneliness cause so much pain besides it teach You how to overcome all the pain,0
282,Don't let panic and  cause you to say YES to someone when everything within you is saying NO!,dont let panic and cause you to say yes to someone when everything within you be say no,0
283,"Christmas means ""Love Actually"" for me.    ??¥?????­",christmas mean love actually for me,0
285,"What is the base of the power? When it can be definite ""power""?The loneliness or the company create it?   ",what be the base of the power when it can be definite powerthe loneliness or the company create it,0
286,"People experience ,  in old age, for living alone or due to lack of close family ties and connections.  pic.twitter.com/dlGIALueNn",people experience in old age for live alone or due to lack of close family tie and connection,0
287,"Is it a crime to have few friends, to be sensitive to overwhelming problems and injustice in the world? Hope no.  ",be it a crime to have few friend to be sensitive to overwhelm problem and injustice in the world hope no,0
288,God's  is the antidote to . He will never leave us. ,god be the antidote to he will never leave u,0
289,I feel like people only ever text me when I'm sleeping  ,i feel like people only ever text me when im sleeping,0
291,"After the decorations come down,  remains issue for  Regular  makes a huge difference pic.twitter.com/8DMFzQqK3m",after the decoration come down remains issue for regular make a huge difference,0
293," is REAL... and all I wanted was a ""Drake Hug"" ???©???©???©????????????  pic.twitter.com/aE4zsPAx0p",be real and all i want be a drake hug,0
294,To get close to another you have to take off your armor. It takes more  to be soft than tough.  reduces ,to get close to another you have to take off your armor it take more to be soft than tough reduces,0
295,Find the lost and the lonely. They need you.    pic.twitter.com/BtM7BpcUGQ,find the lost and the lonely they need you,0
296,Travelling state of mind.     pic.twitter.com/3xKR0fgmET,travel state of mind,0
297,just tryna talk to somone and they got to be confused about it huhhhhhhhh life it boring as hell ,just tryna talk to somone and they get to be confuse about it huhhhhhhhh life it bore a hell,0
299,and the feeling of being unwanted is the most terrible .   Mother Teresa,and the feeling of be unwanted be the most terrible mother teresa,0
303,Loneliness is what that happens in silence When darkness creeps towards the - Deep Corridors of mind Without disturbing anyone ,loneliness be what that happen in silence when darkness creep towards the deep corridor of mind without disturb anyone,0
304,Publicity before Christmas about loneliness. How many loneliness projects were open on Christmas day I wonder?  ,publicity before christmas about loneliness how many loneliness project be open on christmas day i wonder,0
305,What do you think?  or ? Something else? pic.twitter.com/FNM1aQ1Rqi,what do you think or something else,0
306,Did anyone call and chat with someone who was alone over Christmas?  ,do anyone call and chat with someone who be alone over christmas,0
307,Loneliness isn't about being alone it's not being anybody's priority  is a problem that faces us all reach out and make contact????£,loneliness isnt about be alone it not be anybodys priority be a problem that face u all reach out and make contact,0
308,Social connections are important throughout our lives!     pic.twitter.com/TpvuN7eGQv,social connection be important throughout our life,0
309,Heard a person detailing his branded cloths arrogantly today. It sounded more like him wearing  instead of cloths. ,heard a person detail his branded cloth arrogantly today it sound more like him wear instead of cloth,0
310,"nobody could ever know the hidden pain or the hidden  or the hidden ,,,,, but ..",nobody could ever know the hidden pain or the hidden or the hidden but,0
311," or being in heat is not sufficient reason to jump into . That's how people get hurt, cycle of pain happens. ",or be in heat be not sufficient reason to jump into thats how people get hurt cycle of pain happens,0
312,Walked outside and saw this nigga catchin the fade   pic.twitter.com/DiqoKV0Eix,walk outside and saw this nigga catchin the fade,0
313,LEARNING TO LOVE YOURSELF IS THE HARDEST TASK YOU HAVE TO ACCOMPLISH IN LIFE FOR A LOT OF PEOPLE.  ,learn to love yourself be the hard task you have to accomplish in life for a lot of people,0
314,"for 3 days, I will improve the landscape of the my game() and make the pause menu with the ability to save and load",for day i will improve the landscape of the my game and make the pause menu with the ability to save and load,0
315,Don't glorify . Don't rationalize .  pic.twitter.com/9kcwhSIjeR,dont glorify dont rationalize,0
317,"Pop in to see an elderly relative, friend or neighbour this  and help combat   pic.twitter.com/3Zy8CXTriS",pop in to see an elderly relative friend or neighbour this and help combat,0
319,Good nite.                                         ,good nite,0
321,Biggest challenge at this time of year (& many other times) is to not make older people feel old! ,big challenge at this time of year many other time be to not make old people feel old,0
322,"After the first quarter, sales of my game () plan to get 100.000 rubles, including the Russian market and the European  pic.twitter.com/xpQfiqByav",after the first quarter sale of my game plan to get ruble include the russian market and the european,0
323," is dangerous. it's addicting. once you see how peaceful it is, you don't wanna deal with people. -Hedonist Poet",be dangerous it addict once you see how peaceful it be you dont wanna deal with people hedonist poet,0
324,can feel ever so painful. And stigma prevents honesty about problems. Let's keep the difficult conversations going x  pic.twitter.com/DwXfpvI3iX,can feel ever so painful and stigma prevents honesty about problem let keep the difficult conversation go x,0
327,Holiday  and  is common. Design your own holiday celebration. pic.twitter.com/F8MfTFqqIQ,holiday and be common design your own holiday celebration,0
328,Don't you want to be my girl ?   ,dont you want to be my girl,0
330,Volunteering today with my cousin at a community centre putting on a spread for those alone at  Say no to  at  pic.twitter.com/MJEHIwdpD5,volunteer today with my cousin at a community centre put on a spread for those alone at say no to at,0
331,"Christmas, the most wonderful time of the year can also be the most horrific time of the year.   ",christmas the most wonderful time of the year can also be the most horrific time of the year,0
332,If you are struggling with   this festive season. We are open 24/7 to offer . Call 0800 132 737. pw,if you be struggle with this festive season we be open 7 to offer call pw,0
333,Loneliness does not just happen on this one day but all year round   ,loneliness do not just happen on this one day but all year round,0
334,"Its a comforting experience to pull off a major freeway and there not be one person as far as the eye can see.  ,  ",it a comforting experience to pull off a major freeway and there not be one person as far a the eye can see,0
335,To be alone is lonely or freedom...   pic.twitter.com/eqnKrbjoXr,to be alone be lonely or freedom,0
339,"Visited an elderly gentleman in hosptal earlier, admitted a week ago & had no visitors as all family & friends have passed away ",visit an elderly gentleman in hosptal earlier admit a week ago have no visitor a all family friend have pass away,0
341,fuck fuck fuck Christmas ï¼ï¼ Why Japanese couples want to see illumination???? Looking for a girlfriend ,fuck fuck fuck christmas why japanese couple want to see illumination look for a girlfriend,0
342,"As we think abt  across t generations at this time, a turkey sandwich & mince pie, in t company of strangers is seldom effective",a we think abt across t generation at this time a turkey sandwich mince pie in t company of stranger be seldom effective,0
343,Christmas without you     pic.twitter.com/IKzGhX6ZI8,christmas without you,0
344,There is a  in this world that you can see it in the movement of the hands of a clock Bukowski  pic.twitter.com/SMPkHU3twN,there be a in this world that you can see it in the movement of the hand of a clock bukowski,0
345,The best photo that describes me ??   ??  pic.twitter.com/HZngzZlxu6,the best photo that describe me,0
347,is more harmful than you may think!  pic.twitter.com/T4n5L9kdYz,be more harmful than you may think,0
348,"We are all so much together, but we are all dying of loneliness. âAlbert Schweitzer   ??¤???",we be all so much together but we be all die of loneliness albert schweitzer,0
349,"Holidays can be tough. I've been there. If you're struggling this holiday and want to talk, I'm here.      ",holiday can be tough ive be there if youre struggle this holiday and want to talk im here,0
350,is more harmful than you may think!  pic.twitter.com/LBHOUTajtK,be more harmful than you may think,0
352,Trying to be friends with WWE superstars ,try to be friend with wwe superstar,0
353,Honesty & Bravery are wonderful traits. Traits of a great human.  Great humans triumph.   ,honesty bravery be wonderful trait trait of a great human great human triumph,0
354,It seems that a lonely future is waiting for me! Giver said he had a wife but it's forbidden to talk about our job.    pic.twitter.com/RcJGUdSs9K,it seem that a lonely future be wait for me giver say he have a wife but it forbidden to talk about our job,0
355,and  partners in crime. One could lead to the other.Both effective in destroying lives and the spirit of young and old!,and partner in crime one could lead to the otherboth effective in destroy life and the spirit of young and old,0
356," truly devastating disease of the modern age. At festive times like  worth making an effort to talk to, visit the lonely.",truly devastate disease of the modern age at festive time like worth make an effort to talk to visit the lonely,0
357,I feel like I'm the only guy in Chan that doesn't like Hamilton ,i feel like im the only guy in chan that doesnt like hamilton,0
358,"To come out of , you make friends but coming together in knowledge is rare. Be a friend in knowledge and uplift each other.",to come out of you make friend but come together in knowledge be rare be a friend in knowledge and uplift each other,0
