tweet_processed,label
anotherazntart i share this last year but it still make me giggle so ill share it again,0
it only oclock in the afternoon and it dark and rain like mad i hate this so much,0
im now cast for potential for my learning to swim photography project about,0
be in the news a lot for treat and other condition but what be it contact u to learn more,0
dont let others emotion corrupt your mind beacause that pave the path to,0
ok but real talk for a moment the thing with have depression from for so long from such a young age be that it,0
to ppl tweet the lead cause of depression be reality how pithy what know you of show some empathy just stop it,0
another wee message for those of u that feel a relapse over the holiday youre not alone im right there with you,0
if this be your response to someone say theyre deal with youre a terrible person,0
just realise i havent clean my teeth in day,0
i have depression pffno maybe,0
be serious so let treat it seriously dont just brush it off tell someone and if some one tell you dont over react,0
happy new year thank you for move against with u,0
new year evethe day i always dread,0
sometimes it song in the dark in the small world possible that make all the difference,0
you must get up from right where you be do that and your battle be over let talk,0
have you withdraw from those in your camp or others around you you could be in a depressed state of mind,0
what i feel like when i realize that theres no more walking dead until february th,0
why doesnt she like meeeeeeeeeee,0
i hate when the person you have a crush on have a girlfriendboyfriend,0
just get some very unpleasant news about my unclei be so happy that marijuana exists,0
deeper and deeper the river flow downstream degrade even the strong mineral,0
in business be force out of business because of the ongoing economic,0
it a when your neighbor lose his job it a when you lose yours,0
for all those out there suffer with and or this be for you,0
rt if youre a depression or ed acc follow everyone who rts this i will too ready go,0
a whopping of adult in america be depress another be deeply depressed let talk,0
you dont have to be sad because of depression get help get clear,0
ive never dream to love him,0
weedfeed physician have recommend for the treatment of since,0
worry do not empty tomorrow of it trouble it empty today of it strength,0
anxiety be like a tornado the most violent horrific and destructive atmospheric phenomenon,0
i really wish i would have more time to draw blog about im sure theyd be helpful to many,0
holiday and be common design your own holiday celebration,0
be in the news a lot for treat and other condition but what be it contact u to learn more,0
ur best be plenty good enough anyone or anything that be meant udont let ppl nor circumstance kill you,0
talkspace cost company 52 billionyear in absenteeism reduce productivity result in million lost work daysyear,0
on topic of famous people apparently stuff need to be put in place for mental illness what about non famous people,0
if id know it be go to go from sunny yesterday to cloudy today i still wouldnt have do anything differently,0
after read about in academia i feel like secretly hang up some poster about the topic around my old university,0
you arent worthless you be priceless you be important to someone and theyd miss you if you be go,0
we be open all through this for info advice or even a chat,0
billion a well write thoughtprovoking mind illuminate book to unite connect save humanity,0
happy new year from we hope it be a year fill with joy and that we can work together to tackle in australia,0
beautiful delightful noble memorable a be the world i yet be well content in my shady crevice christina rossetti,0
loneliness cause so much pain besides it teach You how to overcome all the pain,0
dont let panic and cause you to say yes to someone when everything within you be say no,0
christmas mean love actually for me,0
what be the base of the power when it can be definite powerthe loneliness or the company create it,0
people experience in old age for live alone or due to lack of close family tie and connection,0
be it a crime to have few friend to be sensitive to overwhelm problem and injustice in the world hope no,0
god be the antidote to he will never leave u,0
i feel like people only ever text me when im sleeping,0
after the decoration come down remains issue for regular make a huge difference,0
be real and all i want be a drake hug,0
to get close to another you have to take off your armor it take more to be soft than tough reduces,0
find the lost and the lonely they need you,0
travel state of mind,0
just tryna talk to somone and they get to be confuse about it huhhhhhhhh life it bore a hell,0
and the feeling of be unwanted be the most terrible mother teresa,0
loneliness be what that happen in silence when darkness creep towards the deep corridor of mind without disturb anyone,0
publicity before christmas about loneliness how many loneliness project be open on christmas day i wonder,0
what do you think or something else,0
do anyone call and chat with someone who be alone over christmas,0
loneliness isnt about be alone it not be anybodys priority be a problem that face u all reach out and make contact,0
social connection be important throughout our life,0
heard a person detail his branded cloth arrogantly today it sound more like him wear instead of cloth,0
nobody could ever know the hidden pain or the hidden or the hidden but,0
or be in heat be not sufficient reason to jump into thats how people get hurt cycle of pain happens,0
walk outside and saw this nigga catchin the fade,0
learn to love yourself be the hard task you have to accomplish in life for a lot of people,0
for day i will improve the landscape of the my game and make the pause menu with the ability to save and load,0
dont glorify dont rationalize,0
pop in to see an elderly relative friend or neighbour this and help combat,0
good nite,0
big challenge at this time of year many other time be to not make old people feel old,0
after the first quarter sale of my game plan to get ruble include the russian market and the european,0
be dangerous it addict once you see how peaceful it be you dont wanna deal with people hedonist poet,0
can feel ever so painful and stigma prevents honesty about problem let keep the difficult conversation go x,0
holiday and be common design your own holiday celebration,0
dont you want to be my girl,0
volunteer today with my cousin at a community centre put on a spread for those alone at say no to at,0
christmas the most wonderful time of the year can also be the most horrific time of the year,0
if you be struggle with this festive season we be open 7 to offer call pw,0
loneliness do not just happen on this one day but all year round,0
it a comforting experience to pull off a major freeway and there not be one person as far a the eye can see,0
to be alone be lonely or freedom,0
visit an elderly gentleman in hosptal earlier admit a week ago have no visitor a all family friend have pass away,0
fuck fuck fuck christmas why japanese couple want to see illumination look for a girlfriend,0
a we think abt across t generation at this time a turkey sandwich mince pie in t company of stranger be seldom effective,0
christmas without you,0
there be a in this world that you can see it in the movement of the hand of a clock bukowski,0
the best photo that describe me,0
be more harmful than you may think,0
we be all so much together but we be all die of loneliness albert schweitzer,0
holiday can be tough ive be there if youre struggle this holiday and want to talk im here,0
be more harmful than you may think,0
try to be friend with wwe superstar,0
honesty bravery be wonderful trait trait of a great human great human triumph,0
it seem that a lonely future be wait for me giver say he have a wife but it forbidden to talk about our job,0
and partner in crime one could lead to the otherboth effective in destroy life and the spirit of young and old,0
truly devastate disease of the modern age at festive time like worth make an effort to talk to visit the lonely,0
i feel like im the only guy in chan that doesnt like hamilton,0
to come out of you make friend but come together in knowledge be rare be a friend in knowledge and uplift each other,0
our last group of be our new project even more relevant at this time of year they lay on some welcome festive food,0
creep inside when not the entire world become silent but the one you care most,0
be doesnt mean youre lonely be feel alone in a with someone who cant or wont connect,0
in the heart of every human be there be a sense of which cannot be put out expect by be close to allah,0
we live a we dream alone joseph conrad,0
be a choice be a mild side effect You get use to it,0
social connection be important throughout our life,0
if you dont open up your heart and life to someone be guarantee to eat you alive,0
my new friend from the memory cafe support raise money to help those with,0
he may not act like it but it be true,0
by bleak melody beat beautiful voice and gloomy verse about todays world brilliant one of the best in,0
dems after kerrys speech,0
we have in a sea of,0
my album of the year be few artist have manage to convey the modern world horror so beautifully bold move,0
some album simply stand out,0
top musique n2,0
year of have to endure obama,0
michelle obamas feeling of be a bellweather for the country it tell u we be move in the right direction,0
the lose the seat in both house and senate in vote by the people clearly reject this notion of,0
since red china enter the wto u factory have close d trump,0
michelle o be clearly refer to life where she pay for her own vacation and doesnt have servant at her beck and call,0
be a debbie downer be a neglected mental disability the buzz word be code for lack resilience have no faith fearful,0
life be a privilege dont waste it on the bs emotion of celebrate life silver lining be parent and inspire,0
if my own mother have use the profane term or in our home we would have sue her then remove her from our home,0
exists in place place of lawlessness or dysfunctional governing management,0
hopeless zone where privileged american level be not progress,0
we can never allow degradation of self so low by external event that we a human being ever give up or give in to feel,0
that be the eighty wot we hav now be,0
have be most uninspiring time in usa history run amok call it,0
end of the obama administration,0
reject turn off your tv or medium emit psyops sentiment analysis algorithm of hopelessness choose,0
sentiment analysis algorithm from democrat and mrs obama be design to engineer reject it in it entirety,0
no michelle obama usa be not enter a time of actually now that barrack be leave we have great for our future,0
the audacity of whom be the we represent oh i get it it the pecker in the girl potty people,0
s be our whats yours,0
the reason for thing fall apart be the world include the church have to make jesus the centre,0
maybe this it chaebol be future wang so,0
i can be drown in homework and assignment and ill still say yes when my friend call me out,0
same old story same old song and dance,0
if optimism be the to success and if you can achieve a outlook through positive thinking there be no excuse for failure,0
be deprive of god joy will lead you to addictive carnal pleasure look for love in all the wrong place,0
be something i believe hurt more than anything other inner state your thought,0
i wear all black today a metaphor for my state of mind and also for the state of america on this day,0
so now our parliament be go to limit the supreme court of it power to save co from case,0
immobilization isolation selfblame feeling overwhelm and find no responsiveness in one context characterize,0
everyone be a thiefits just a matter of who be near the money basket,0
when you will never again give birth to violent men,0
i feel like im root for da bear and theyre down 0,0
the new era f justice 2night im call n all prayer intercessorswarriors pray against tht strong spirit f fr the election,0
once a flirty always a flirty,0
the moment you realize that theyre still make country music,0
anohnis be the underrated album of the year,0
trump want to make america great again and guest what he ask obamas kenyanborn half brother for help,0
no matter how knowledgeableexperienced a woman become there will always be an inexperienced male moron whom 40 support,0
im tell you the eats you alive,0
definition of utter use powerpoint on a it like microsoft do it on purpose,0
why do you separate me from the earth anohni,0
violent men anohni,0
i dont love you anymore anohni,0
watch me anohni,0
4 degree anohni,0
drone bomb me anohni,0
i feel depress when i see elite take a piss on all of u then msm tell u it rain with a straight face,0
anohni be truely a lighthouse in our modern twist fog i highly suggest read that article purchase her lp,0
i a temporary contract job but i be hop for permanent thats hear all too often amongst geny,0
if there be no god then there be no purpose it be why the soul be suck right out of a man who doesnt know god,0
if you need hope today ask god into your heart then take over the devil and cast away from you kenneth copeland,0
actually each and every goddamn song on the album be the strong sadest and most beautiful song ever 3,0
if there be serious conversation regard institutional racism black on black crime will be well understood,0
disturb to see that be trend heaven send the personal sponsor bffs to save the dreary day,0
two option remain sell this phone sell myself,0
not the i know or grow up in this be the brutal reality of honest people honest official in state,0
we will never again give back to violent men this be a great song to hear live,0
human be be a design of expression that despite the of a situation regardless of the odds we still rise in our,0
insight beyond my team be now 1 oh well theres always next year,0
it be a bit depress but i cannot wait to explore the rest of the album,0
the only causal factor in that tie everyone together be an overwhelming feeling of a kind word can save a life,0
your perseveres good luck in mercury award darling,0
a man spirit will endure sickness but a crushed spirit who can bear proverbs 14 esv,0
ill just say it the u have become so corrupt in it that there be a deep sense of in america,0
be more closely associate with than,0
the mind may offer you but the soul will furnish you with hope intuitive answer solution eleesha,0
change name doesnt change service hospital should not spell and dr sanjeev,0
for those who struggle w they need those of u who be and when the hopeful struggle we need to find our way back,0
it elude u then but thats no matter tomorrow we will run faster stretch out our arm farther,0
for some this be the face of the great depression,0
something epic out of a sense of sort of a desperation through that desperation we feel we have nothing to lose,0
a of august this be the album of the year no questionwithout a doubt,0
when you live with someone that be manic depressed life stop,0
if you havent listen to with the new album maybe you shouldnt it might break you,0
the look of on their face be kill me,0
v,0
basically his death show the entire parole system to be a farce,0
the in the npp be deeply root because of nana addos divide and rule style of slave mastership,0
this be anohni she have release an album that transcend space and time the best album ever,0
very happy to see anohni make the very nice nominated list thats where im put my vote,0
many people tell me so far to stop and give up because there be nearly zero hope i cant wait to see how it end vs,0
be today your day to choose happiness success over failure,0
still wonder if syfy can have a theme song for,0
how do i become a virus awareness listen the great music by,0
the gateway to freedom kit when you need the tool to break from and keep go,0
i 3 this lp so so much,0
friend frm abroad today why r You so seriousall change me be there anything to celebrate,0
cant stop listening to the album so beautiful,0
we need a newspaperchannel that show only positive n inspirational storiesthis period of be awful why album be apt,0
be it today it can be to choose happiness success over failure,0
this album be beautiful but lyrically creepy in a good way,0
try to promote your video to a youtuber over k be simply pointless,0
hopelessness be the enemy of prevails where persists bryan stevenson,0
completely brilliant performance so moving and honest,0
perhaps shes the ghost of past present future all roll into one but then there might be hope im not sure there be,0
anohni ask basic question of your soul and strip you bare and the music and visuals be incredible fucking hell,0
at last something honest and noble utterly despairing but somehow full of hope,0
superb artistic performance at what a voice,0
when you ask for a triple chocolate melt down and the waiter tell you no,0
ppl be in this house try to use wifi,0
work new year eve not go to newcastle tomorrow,0
or national prevention lifeline offer help 7 800273talk 8255,0
want a sweater but promise i wouldnt buy one for the rest of this month,0
for the first time in quite a while i dont think ive even see enough movie to make kshocks top film of the year,0
close new year eve and open new year day,0
and not just disappointed,0
well thats that see my way out of this shitty yrwith a shitty night in bedfeel ill still and miserable,0
katelyntiffner because i have a dream ralligatorrr i be on springbreak in cancun wake up and realize i be still in o,0
leave in day,0
little miss debbie downer over here,0
last year i be at the bar all night get free drink and make out with a stripper this year ill be in bed by 30,0
why cant i go super saiyan,0
happy new year to everyone and all the best for,0
try to get over that i work box night and be work tonight oh and im start to get the flu,0
just finish the last episode of new girl what be i suppose to do now,0
just have my last appt with my nail lady before she leave,0
what you leave me i just come from dr to this,0
one of my best friend get engage,0
a if my bos just text about work im on holiday,0
need to book a holiday As Soon As Possible,0
it be all good i be enjoy tv until out of nowhere i use that r200 to arrange the funeral appear,0
i finish park rec twice now,0
i appreciate the day pay vacation from my job buti still dont want to return i feel like quit but i cant,0
im actually cry because i dont want to return to work on friday,0
alright charlie st cloud youve do it again next the fault in your star or garden state maybe the notebook,0
why doesnt ally have a twitter,0
just finish weed my life no longer have purpose,0
never tell a blonde that her hair be slowly fading to brown,0
heard willy nelson sing the scientist and think so this be the original then discover he be just cover coldplay,0
if i stay get me feel some type of way,0
how many suicide do it take for people to realize that what you say fuck matter,0
my last day of cheat on my diet and exercise routine be tomorrow,0
nooooo will crack the point mark in the th quarter,0
this weekend be the end of bow hunting season,0
one day everything will end it be inevitable but for the love of god why do it have to be my quesarito from taco bell,0
give up on wow carnt play my mage and carnt even pay to change it class so im stuck with a lvl mage,0
do you feel direct message me i would love to interact with you guy,0
so upset about not be able to pay for ticket myself really want to see the lion king again,0
wait i cant believe ive manga in hiatus since,0
oh im regret it now,0
s someone destroy her who could have do such an awful thing,0
i really do not give notre dame a chance in this game,0
i go all my way out from the vaal to jozi to submit application form for a post that close month ago i feel stupid,0
how could riv close what be i go to do now,0
just the thought of go back to school brings tear to me eye,0
22 no chance they all contain why not use a flour it would be so easy then most people can eat them,0
all of the outside christmas decoration be put away,0
wish i be in las vega for new year eve alesso and ingrosso be bring the new year in would love to see that,0
ive come to realize that im never gonna get 5,0
i just want soccer season baaaack,0
no one ever look happy on a bus,0
i waz astound by you my idol m dhoniwhen i come to know i m not go to see you in white jersey miss You you,0
really disappointed that i havent be able to take my sled out yet this break,0
well thats the car hand back,0
after watch a movie,0
when teen feel down there be way they can cope with these feeling to avoid serious such a make new friend or social connection and participate in sport or school activity call focus balance at 8589980 to learn more and see how we can help,0
a word that not many people understand a word that many people fear a word that should be speak about more freely a word that shouldnt hold any shame a word with no jokey come back depression it not a swear word it ok not to be ok,0
only exist in a brain that accept it,0
when you care about someone and try to help them just hope they listen and keep positive thought when theyre in depressed wish i can help her talk with her make her smile,0
some thought on about a month into my late episode,0
if someone have the courage trust to share their struggle of or ideation with you please please be there to listen support them you may be the only person with whom theyve be able to open up to it not easy to reach out,0
,0
heal me,0
depression affect many old adult receive home care but often be not properly treat,0
depression may carry a feeling of worthlessness in which you feel like you cant do anything this only make you feel bad about yourself and drag you into an even deep state of to push back set small daily for yourself that you can accomplish for sure,0
if youre feeling depress know that your not alone know i see You i hear You and i support you know that i be master level trained therapist know that while it ok to pray it ok to seek professional help too know that black people men and woman be not immune,0
exercise be a powerful tool for deal with,0
adulting day 1 thread major depressive episode hit last night,0
we would like to have a conversation on twitter with an athletic trainer about the effect see on and when a person with these issue have begin train we know youre out there share your experience and let u amplify it for others,0
quote and be cause when we be live to please others paulo coelho,0
i use to think that the bad thing in life be to end up alone it not the bad thing in life be to end up with people who make you feel alone,0
you try hard to forget the person whom you love more than yourself,0
sometimes loneliness be more than just be alone in life it the idea of doubt loss and emptiness it can be have a family but yet noone to talk to about your problem,0
if medical doctor could be train to assess loneliness and have more place to refer their lonely patient to other than the pharmacy for their antidepressant we may be able to calm the tsunami of loneliness in our country,0
nowadays people be feel lonelier because the quality of friendship and relationship be perceive to be of low quality than in the past,0
my tl die in the afternoon ive follow about six gazillion people and still get about three tweet an hour,0
both addictive romantic relationship and toxic friendship leave u lonely when we be always engage in power struggle there be no chance for real connection,0
use key influencer with prediction of dataset explain by nomis lone parent dataset,0
of old people be in contact with family friend and neighbour less than once a week and be in contact less than once a month,0
human being be design for many thing but loneliness isnt one of them,0
loneliness can fee depression and depression can trigger loneliness the important thing to remember about this cycle be that small step can help u change therapy can help you identify those step,0
day to our meetup,0
despite the weather we be have we shall be at the stall with hot food and drink on saturday come and say hello to the team,0
loneliness frazzle the body mind and soul sound mute outside of the sound of silencedeafening,0
day leave until our first meetup,0
now play on total dance,0
in quebec city family go to a chocolate store and spent way to long in there i want to leave because the girl behind the cash register be so damn beautiful the long i spent in there the more painful it be,0
i barely tweet i have no follower,0
loneliness be probably one of the bad feeling there be thats why community be such a high priority for u here at christian against poverty we want our client to know that theyre not alone we be on their side,0
not be lonely involves so much more than just be in the company of others a sense of community a tribe common value goal share ritual share risk the warm feeling that you be surround 7 by people who will risk their life for you,0
we be drown in company but die for companionship,0
live the moment losing focus,0
can we stop complain about until we recognize that we have institutionalize selfsufficiency and pathologized human interaction,0
breakdown of system due to economic opportunity have increase among,0
with age population at risk of and and depression myriad health effect so high healthcare cost as well a rise childcare cost approach like intergenerational care seem beautifully cost efficient and solve problem with another problem,0
fellow how do you deal with,0
support the most vulnerable member of our community who be at risk of and,0
work on pill for make something for the millennials eh who can stand the little smug selfsatisfied snot,0
if anybody want to talk im here,0
the real question be why isnt he worth the investment a a longterm romantic partner,0
look whats arrive connect to badge for all our lovely join u in end contact charlotteorguk to find out more,0
loneliness be quite common in the elderly isolation and inactivity may harm a loved one mental physical and emotional health visit them and bring them to social event such a family gathering,0
big dog doesnt understand me,0
you havent experience until youve reach the last cage in the frozen chamber of a ft trailer,0
winter and holiday can be challenging season for old adultsespecially for those live alone come to epl september at 00 pm to learn way to deal with our special guest will be cris hughes from aarp,0
loneliness be a bad for your health a cigarette a day let that sink in,0
it normal to feel lonely when you dont have a partner and you want one be an emotion that signal that a need be not be meet it not something you get over by think it away or by make more friend,0
any na gamers out there ive get no friend here,0
just realize the last time i be someones type i be donate blood,0
in utter loneliness a writer try to explain the inexplicable john steinbeck,0
thank you for highlight a an epidemic we human be pack animal and not mean to live in isolation we dont have the speed of jaguar or the strength of gorilla but we do have social connection skills we need each other to survive,0
when you go out and try to be a part of life end up feel like you be less a part of it then when you start,0
in address loneliness a danger that we must watch out for be indulge in the sexy new robotic industry to provide the lonely with robot companion,0
this be why our service be so important,0
2 w 1,0
w,0
ww w,0
,0
,0
,0
12,0
ww w,0
ww ww,0
w,0
w ww w w,0
w,0
2 2,0
w ww w w,0
w ww w w,0
2,0
2 2,0
,0
2 2 w,0
w 2,0
w,0
w www,0
,0
,0
w,0
4 w ww,0
ww w ww w,0
w 2 ww ww w,0
w w w,0
w,0
,0
ww lineline,0
,0
w,0
,0
,0
,0
www 2,0
,0
,0
ww w w ww,0
w,0
w,0
,0
,0
,0
ww w,0
ww w,0
,0
ww 2 ww,0
,0
the person who try to keep everyone happy often end up feel the lonely,0
,0
a social creature we need to make social connection nowadays we dont band together to hunt for food we need adequately maintain friendship to ward off which can lead to depression immune system disorder diseasecausing inflammation,0
now play on forever hit,0
,0
stay alone meditation time sufian session,0
what be you do if you feel lonely,0
premier league start today it will definitely keep my mind off thing,0
relation and connection be not somewhere and sometimes but everywhere and always emerson,0
how far a lonely person can go,0
i cant get the image of out of my mind everywhere be busy it not like there no money around more like theres no will to change the status quo,0
where be you right now at a crossroad of with despair calm down jesus christ know where you be how to get you out how to get you back to lifenot just an empty life but a purposeful meaningful abundant an eternal life,0
if you have never experience you cant pass shouldnt be pass on decision people make out of hopelessness utter desperation trust me i know to the hopeless theyll buy it,0
im anything thatll help but gun lawsbackground check arent enough we have a problem n this country until we alleviate the unnecessary suffering n this country we will continue experience the consequence hurt ppl hurt ppl love support prevents heals,0
how can i impress my crush if i always start act weird when she talk to me or near me,0
one of the common misunderstanding about depression be that it similar to feel sad or down sometimes a people with hopelessness feel depression or vice versa,0
wont be watch veronica mar anymore wasnt it enough that she lose lilly duncan and her own mother ya gotta strip her of everything there get to be something uplift in a show that make you wanna keep watch maker of veronice mar you screw up bad,0
join u for a chat over tea on the th of july friday at 00 pm to share your thought and inspire others on from venue costa rica bahria phase cupshup where community meet opinion be value and story be hear,0
that moment when the president of a country declare thats it god that will punish suicide bomber in the country you know the country be in a state of emergency,0
i didnt think it be your job to fix poverty i think that if you and be to there would be a lot less in the neighborhood,0
may god restore your hope today,0
the basic long ladder net air mattress which could have save more life be miss from the fire brigade this be what we talk abt whn we say that we need basic amenity rather than splurge money on building statue,0
it never too late to give up on your dream,0
hopelessness be think to result from a negative appraisal system and interact with suicide schema and lead to suicidal behavior,0
be an erosion of the soul cause by people in position of power who live a life of abundance and priviledge can use a hopeless population to reinforce their own agenda dont let them use you by offer false hope hope defer make the heart sick,0
re problem that continue to perplex u all say notthere be no silver bullet this be be only human which be drain and lead to but saythere be no silver bulletyet acknowledge our divinity as well be fulfil and give u,0
it a painfully hopeless life to live with the mistake of keep try not to hope of hop not make more mistake,0
the hate You give show hopelessness when maverick be throw onto the road by police without reason and be search multiple time while his kid have to watch the police abuse their power because they can,0
if you want to witness how fucked this society be pass by a school on a rainy day like today,0
at the root of every be a kind of a hopelessness which spring from the fear that we be nothing and nobody that nobody love u and want u that nothing good will ever again happen to u,0
where there be the need for there be for the strong it be a false hope and for the weak it be no hope,0
,0
youngster need to speak against their family when they be wrong,0
the lie we believe ensnare u,0
never thrive on the hopelessness of another regardless how adverse the relationship may be hopelessness be hells nuclear bomb,0
this morning im reset my world view i cant imagine not be able to save my child my friend my parent or the stranger stand next to me from gun violence survivor guilt be brutal let u agree that modern mass shooting must stop,0
what do we expect from a system where health care and education be among the most profitable commercial business,0
be dangerous and deadly hopeless people have nothing to loose sure child and young people be nurture to be hopeful and see the beighter side of life rrm,0
why we loose hope in ourself when people demotivate u,0
omg the commanding staff soon sense the of the situation of the country estimate at billion,0
funny gifs need please have a dark blue daywondering what i get my kid into after im dead,0
there an old say about a place call hell where bad people go to after they die the bad part about hell be not the flame it the hopelessness and i think thiss part of hell that a person with depression really taste the hopelessness,0
,0
hopelessness the child of blame be from the habit of highly,0
sometimes you just know,0
some day the settle in the soul the eye dont twinkle the lip forget to and the sink,0
a person with a broken spirit give up nothing but keep them up and suicide tell them their time be up proverbs 13,0
