Unnamed: 0,tweet,tweet_processed
64,"It's sucks when you don't know what is wrong, but you know something is wrong. .   ",it suck when you dont know what be wrong but you know something be wrong
65,Bored as fucking shit christmas in a hospital isnt so fucking fun,bore a fuck shit christmas in a hospital isnt so fucking fun
66,"Why is it that every one gets  what I want,  I guess  whatever...   ",why be it that every one get what i want i guess whatever
67,wish things weren't how they are now. This year has had so much heart trauma. Makes my head spin for hours. Ugh I miss you,wish thing werent how they be now this year have have so much heart trauma make my head spin for hour ugh i miss you
68,Christmas just ain't what it used to be.,christmas just aint what it use to be
74,"Emotional day, well time of the year for me ",emotional day well time of the year for me
77,"Yet another  all alone, with no family, nobody at all apart from my pets.  I just feel like crying",yet another all alone with no family nobody at all apart from my pet i just feel like cry
79,"..I know he wouldn't want me to cry or be , I heard that a million times along the way, but it's easier said then done. Miss him.",i know he wouldnt want me to cry or be i heard that a million time along the way but it easier say then do miss him
87,"It used to be talking about nothing for hours, now it's just not talking. Really, what happened??  ",it use to be talk about nothing for hour now it just not talk really what happen
88,Where I thought I'd be tonight and who I'm with are not what I had in mind for Christmas.,where i think id be tonight and who im with be not what i have in mind for christmas
89,First yr not being around my dad on da holidays n it's breaking my heart  I wish he just call me that's all i want 4 Christmas,first yr not be around my dad on da holiday n it breaking my heart i wish he just call me thats all i want christmas
94,Can people please stop posting pics with their families. Thanks.,can people please stop post pic with their family thanks
95,All I want for Christmas is my daughters to come home ?? is that to much,all i want for christmas be my daughter to come home be that to much
96,"Being clinically  is not the same thing as having a bad day now and then. It's a relentless, debilitating disease",be clinically be not the same thing a have a bad day now and then it a relentless debilitate disease
99,Well another day almost gone. So crawling back into my hole and hiding now.,well another day almost go so crawl back into my hole and hiding now
101,I feel like I'm just waiting for the day to be over to get to the next day so I'll be one day closer to my life changing.,i feel like im just wait for the day to be over to get to the next day so ill be one day close to my life change
104,So my blood pressure is back up,so my blood pressure be back up
109,The 1st thing I do when I'm  is look up sad things. I think I need to be looking up happy things instead.  pic.twitter.com/7h5BkVZKB8,the st thing i do when im be look up sad thing i think i need to be look up happy thing instead
111,"I'm not suicidal. But I admit, there are moments where I wonder... ",im not suicidal but i admit there be moment where i wonder
112,No one understands me... myself included...,no one understand me myself include
114,It's very hard to feel better because it's been so long that I don't remember what better felt like!!,it very hard to feel well because it be so long that i dont remember what good felt like
115,"tbh, I'm NOT that Excited to celebrate Christmas because of my disappointments -__-  ",tbh im not that excite to celebrate christmas because of my disappointment
118,Don't feel good at all right now    no one to talk to,dont feel good at all right now no one to talk to
119,HealthTap: I haven't eaten anything all day because I feel  and low What should I do? ,healthtap i havent eaten anything all day because i feel and low what should i do
120,I am so sad I have to work on Christmas. My favorite time of year & I'm gonna be working &/or alone in my apartment ??????????,i be so sad i have to work on christmas my favorite time of year im gonna be work or alone in my apartment
122,Tonight ended exactly how I didn't want it to,tonight end exactly how i didnt want it to
128,"This time of the year is USUALLY full of excitement, not for me ",this time of the year be usually full of excitement not for me
134,Feeling like a worthless piece of trash ????,feel like a worthless piece of trash
135,So not in the mood for all this Christmas shit   #,so not in the mood for all this christmas shit
137,Can't believe this Christmas is going to be a repeat of last year.,cant believe this christmas be go to be a repeat of last year
143,When you go do that it makes me feel like I'm horrible at it I'm sorry,when you go do that it make me feel like im horrible at it im sorry
146,Man it's terrible when your  an got a lot of problems more then you can say.,man it terrible when your an get a lot of problem more then you can say
147,One of the saddest day of this year for me ??    ( hope to get out of it soon) ??,one of the sad day of this year for me hope to get out of it soon
151,"When bad dreams come true, got me feeling like Crapulet ",when bad dream come true get me feel like crapulet
152,"Knowing you can help someone , but you can't even help yourself   ",know you can help someone but you cant even help yourself
154,"Personally, I do not have the ""energy"" to celebrate Christmas -___-  ",personally i do not have the energy to celebrate christmas
156,"Im  home . Feeling very low, and unwanted especially by my own family.Feeling very  !!",im home feel very low and unwanted especially by my own familyfeeling very
159,When i just keep hating my life due the others that put an extreme pressure on me...    ,when i just keep hat my life due the others that put an extreme pressure on me
162,This night was supposed to be fun but its really not...,this night be suppose to be fun but it really not
163,Sudden feeling of darkness.... Show me the light Ray I'm feeling pretty hopeless,sudden feeling of darkness show me the light ray im feel pretty hopeless
165,"My brain caught a bug, Or maybe it was my heart, Darkness gives a fucj    ",my brain catch a bug or maybe it be my heart darkness give a fucj
167,Wake me up in March.,wake me up in march
169,It creeps up on you    ,it creep up on you
171,Is it weird that my  and   turns bad when it comes to  ?,be it weird that my and turn bad when it come to
173,Im like lost without waterfowl hunting or bowfishing.,im like lose without waterfowl hunting or bowfishing
175,"Just a thought, have I become afraid of things, safety in routine, what I know? ?  ",just a thought have i become afraid of thing safety in routine what i know
177,surrounded by winter and constantly aware of it (,surround by winter and constantly aware of it
183,feeling so alone and misunderstood.,feel so alone and misunderstood
185,"Nobody understands, I don't even understand most of the time..... ",nobody understand i dont even understand most of the time
191,":) I hate this emo and this feeling ""fake smile"" ",i hate this emo and this feeling fake smile
199,Depression and man flu good end to the year,depression and man flu good end to the year
200,Just you wait and see the girl you once called fat will be the girl you wish you could have   pic.twitter.com/fCdBFrEys7,just you wait and see the girl you once call fat will be the girl you wish you could have
205,Shout out to everyone with  preparing to put their mask on & pretend to be happy for .  Icy bubble all over,shout out to everyone with prepare to put their mask on pretend to be happy for icy bubble all over
206,Spare a thought tonight for all those suffering from  - it's not easy when you feel down and everyone around you is celebrating.,spare a thought tonight for all those suffer from it not easy when you feel down and everyone around you be celebrate
212,"I find it hard today to be grateful for 2015. I had hoped for more progress in my recovery. So, i let you go 2015.  ",i find it hard today to be grateful for i have hop for more progress in my recovery so i let you go
214,Broken As I take this shattered glass And run it down my skin I hope for you the best In your devilish sin,break a i take this shattered glass and run it down my skin i hope for you the best in your devilish sin
215,"Dark place last year, I don't want to ever go back to that!   ",dark place last year i dont want to ever go back to that
217,No surprised so many with  &  struggle so much when the only help you get is take drugs and if they don't work take more,no surprise so many with struggle so much when the only help you get be take drug and if they dont work take more
221,I want to leave Depression in 2015! I'm bored of it now. I'm dragging my black dog out for another run,i want to leave depression in im bore of it now im drag my black dog out for another run
226,And so we arrive at the eve of the worst month of the year.  .  Any tips on making January more bearable?,and so we arrive at the eve of the bad month of the year any tip on make january more bearable
228,"Very apt as I'm currently sat in the pharmacy, waiting for my latest batch of drugs!    ",very apt a im currently sit in the pharmacy wait for my late batch of drug
233,can depression stop lack of promotion at work??,can depression stop lack of promotion at work
234,Depression reality: Trapped inside my skin and trying to tear myself out but no-one knows I'm trapped or sees my struggle.,depression reality trap inside my skin and try to tear myself out but noone know im trap or see my struggle
236,"Depression.....SUCKS!!! I would NEVER wish this on anyone, it just.....sucks. Tired of it controlling my life, I really am?????????? ",depressionsucks i would never wish this on anyone it justsucks tire of it control my life i really be
239,"Here it is, 1:20am, and I'm wide awake. I thought  was supposed to know my ass out? Instead my mind is racing.  ",here it be 20am and im wide awake i think be suppose to know my as out instead my mind be race
241,Loading my pipe and smoking this depression away,load my pipe and smoking this depression away
244,"""Depression, a strange yet comforting company.    ",depression a strange yet comfort company
245,Honestly I wouldn't I get why im the last choice for everything ??   ,honestly i wouldnt i get why im the last choice for everything
247,"Being so fucking composed all the time is getting tiring, I need to have a mental breakdown at some point   ",be so fuck compose all the time be get tire i need to have a mental breakdown at some point
249,That moment when your depression kicks in even more....,that moment when your depression kick in even more
250,"Up at 4am, angsty about not able to exercise (injury), desperate to run away on adventure .. Fucking, fuck; Black Dog's hunting ",up at be angsty about not able to exercise injury desperate to run away on adventure fuck fuck black dog hunt
252,Sometimes the most difficult thing for a person is facing themselves.,sometimes the most difficult thing for a person be face themselves
255,Ever feel like just not eating...or drinking anything?,ever feel like just not eatingor drinking anything
256,"It's hard not to be part of the 22, remain strong and get HELP   ",it hard not to be part of the remain strong and get help
257,"What's worse,  I don't want her knowing my whereabouts.   I'm tired of the , the  & not being able to live life.",whats worse i dont want her know my whereabouts im tire of the the not be able to live life
259,"I hate this feeling, but I brought it on myself   I hope that those I have hurt won't give up on me ??",i hate this feeling but i bring it on myself i hope that those i have hurt wont give up on me
260,"And if the Black Dog comes for me again this new year, perhaps this time I will have a brighter lantern to face the night. ",and if the black dog come for me again this new year perhaps this time i will have a brighter lantern to face the night
267,Laughter is vital medicine if you suffer  or . Have a giggle on me :)  ,laughter be vital medicine if you suffer or have a giggle on me
269,talked about suicidal ideation with a friend last night.she confessed to having a plan of jumping off a bridge.I had no idea.,talk about suicidal ideation with a friend last nightshe confess to have a plan of jump off a bridgei have no idea
273,Tripped hard today! This is promising!   ,trip hard today this be promise
284,Not a new thing Am use to it  â feeling lonely,not a new thing be use to it feel lonely
290,"So, apart from one 10 minute medical appointment, I haven't seen or spoken to another person since Sunday.   ",so apart from one minute medical appointment i havent see or speak to another person since sunday
292,"I have , but feel . ",i have but feel
298,I wish I was successful with women ????   ,i wish i be successful with woman
300,I just had another one of my breakdowns. I saw it coming. I've been feeling it for days. Back in isolation I go!  ,i just have another one of my breakdown i saw it come ive be feel it for day back in isolation i go
301,I guess I'm just not the kind of person you wanna hang out with...  ,i guess im just not the kind of person you wanna hang out with
302,"I feel like I'm well-liked as well. I mean, I seriously doubt anyone would describe me as anything but kind.  ",i feel like im wellliked a well i mean i seriously doubt anyone would describe me a anything but kind
316,is never more cruel than when it is felt in close propinquity with someone who has ceased to communicate. âGermaine Greer,be never more cruel than when it be felt in close propinquity with someone who have cease to communicate germaine greer
318,"So hard to fight the , especially during a chilly night with crickets singing!",so hard to fight the especially during a chilly night with cricket sing
320,"Internet on point,Channel O on point ",internet on pointchannel o on point
325,Sister and her boyfriend in one bed and here I am by myself in the other ???? ,sister and her boyfriend in one bed and here i be by myself in the other
326,Phone ring at anytime now . ??¤¦??½ââï¸ ,phone ring at anytime now
329,I need an IBF and takers...  ,i need an ibf and taker
336,"I'd like wish everyone a Happy Holidays, but I'm alone with no significant other. Fuck me. ",id like wish everyone a happy holiday but im alone with no significant other fuck me
337,I miss those days whn i used to forget bout my worries by jst talking 2 u..i miss u badly mere jigrii..???  ,i miss those day whn i use to forget bout my worry by jst talk ui miss You badly mere jigrii
338,"Not keen on Xmas? Neither am I. Chin up, chest out n remember , beyond the hype , it's just another day. . . ",not keen on xmas neither be i chin up chest out n remember beyond the hype it just another day
340," is the thing which i hate the most and love to live with, for the simple reason that it keeps my mind working and keeps me awake",be the thing which i hate the most and love to live with for the simple reason that it keep my mind work and keep me awake
346,"Out of the many terrible things that come with divorce, folding king size sheets alone is close to the top. ",out of the many terrible thing that come with divorce fold king size sheet alone be close to the top
351," is dangerous. Itâs addicting. Once you see how peaceful it is, you donât wanna deal with  ",be dangerous it addict once you see how peaceful it be you dont wanna deal with
366,Missing you this Christmas    pic.twitter.com/QfzTBKqHpz,miss you this christmas
367,I'm not gonna be his center of attention. His cousin will be. I want ur attention to. Ur cousin is staying till new years ,im not gonna be his center of attention his cousin will be i want ur attention to ur cousin be stay till new year
368,When you've single for so long and start to wonder do you even still know how to hug ,when youve single for so long and start to wonder do you even still know how to hug
370,Being lost in my own mind   ,be lose in my own mind
378,Stuck in traffic prime minister narendra modi visit in pune  ,stick in traffic prime minister narendra modi visit in pune
380,for me is the past 8 years of lies and deception!  pic.twitter.com/NDLoUwMrFi,for me be the past year of lie and deception
383,Its hard to fix my life when I'm surrounded by negativity 24/7.... ,it hard to fix my life when im surround by negativity 7
403,"America, I love you, but you're bringing me down...   ",america i love you but youre bring me down
404,"A day saturated with  and . Brutal. Oh, the human mind. What an enemy.",a day saturate with and brutal oh the human mind what an enemy
409,"Riding the metro into , the feeling of  is palpable this morning.",rid the metro into the feeling of be palpable this morning
419,"comment: ""I've had tough times but I would never consider ""  this is stigma this is ignorance    ANYONE pic.twitter.com/yjJOgmHM3D",comment ive have tough time but i would never consider this be stigma this be ignorance anyone
434,When you feel like a stranger in your own environment.   pic.twitter.com/w1sj4IlSUa,when you feel like a stranger in your own environment
436,"Reading poetry on the subway is magical. ??¦  Oh, did I mention I'm thinking of you... ???  pic.twitter.com/6lNdaRZiJb",read poetry on the subway be magical oh do i mention im thinking of you
437,you're broken into thousands of tiny pieces and will never be put back together again.  ,youre break into thousand of tiny piece and will never be put back together again
448,Gosh I needed this to lift me up!  was getting me down  pic.twitter.com/aKXO9rDvom,gosh i need this to lift me up be get me down
454,So dat i cn hv mah best lyf ever had n my hand & i dn't wnt 2 see myself a  man n future. So i wish me having... Cntd..,so dat i cn hv mah best lyf ever have n my hand i dnt wnt see myself a man n future so i wish me have cntd
455,In need of an ephemeral relief to   ,in need of an ephemeral relief to
458,Setback after setback after setback  ,setback after setback after setback
460,"The fourth day you didn't refill your medication because the price was too exorbitant, even with a coupon.   returns",the fourth day you didnt refill your medication because the price be too exorbitant even with a coupon return
470,Iâm so stressed and frustrated right now.  Iâm not about this.  ,im so stressed and frustrated right now im not about this
479,"If all the lights in the world were turned on, I'd still be shrouded in darkness   ",if all the light in the world be turn on id still be shroud in darkness
480,being all sweet and nice to a guy then realizing how he never really deserved any of it ????½ story of my life ,be all sweet and nice to a guy then realize how he never really deserved any of it story of my life
495,DA NEW YR ALONE I AM  BCAUSE OF WAT HAPPENED 2ME ND NOW YA'LL WANA MAKE MY  WORSE!?!I'VE TRIED MY BEST 2GIVE CHANCES I_,da new yr alone i be bcause of wat happen me nd now yall wana make my worseive tried my best give chance i
496,Let me just sit here and wallow in self pity ,let me just sit here and wallow in self pity
498,"First breakdown at work ),: more to come ill bet money on it ",first breakdown at work more to come ill bet money on it
499,I DONT wanna cry or feel sorry for myself. Its just so hard sometimes watching your sick son in the hospital day after day.  ,i dont wanna cry or feel sorry for myself it just so hard sometimes watch your sick son in the hospital day after day
500,Bought a lottery ticket again for tonight in the hope I'll win enough to escape Saturday til Monday to clear my head a bit  ,buy a lottery ticket again for tonight in the hope ill win enough to escape saturday til monday to clear my head a bit
501,"I hate it when someone says, ""Why are you ? You have nothing to be depressed about?"" It's chemical! I  can't help it!! ",i hate it when someone say why be you you have nothing to be depress about it chemical i cant help it
502,Really wish the gym wasnt closed tomorrow ... ,really wish the gym wasnt close tomorrow
505,Fuck surgery. Fuck laying here watching days pass. I'll just sleep through New Year's Eve. ,fuck surgery fuck lay here watch day pas ill just sleep through new year eve
506,"I'm sinking so fast, I don't even know where to start to save myself.  ",im sink so fast i dont even know where to start to save myself
508,"Its the 31.12.14, 22:34  in South Africa right now & I am literally alone on New Years Eve. Literally.   ",it the 34 in south africa right now i be literally alone on new year eve literally
515,I feel so mentally tortured right now. Dunno what to do  &  Feel completely out of control.,i feel so mentally tortured right now dunno what to do feel completely out of control
517,Not making any plans to go out tonight is already proving to be a regrettable decision...  ,not make any plan to go out tonight be already prove to be a regrettable decision
518,"Hope everyone has a good New Years tonight, coz mines gonna be shit!   ",hope everyone have a good new year tonight coz mine gonna be shit
519,Super depressed for no reason! Yaayyy. Screw my life lol   ,super depress for no reason yaayyy screw my life Laughing Out Loud
521,Can't believe I'm missing my favourite night ?? ,cant believe im miss my favourite night
529,I don't want this year to be over ,i dont want this year to be over
530,"Too ill and broke to go out tonight, so gunner sit in order fish and chips and watch it on the telly! ???³???­ ",too ill and break to go out tonight so gunner sit in order fish and chip and watch it on the telly
531,Have to work everyday for the rest of the year ,have to work everyday for the rest of the year
533,Doing absolutely fuck all tonight :(  ,do absolutely fuck all tonight
535,"It has only dawned on me, browsing Instagram, how the rich people do winter... That's right, they migrate abroad...I'm not rich  ????",it have only dawn on me browse instagram how the rich people do winter thats right they migrate abroadim not rich
536,Can't believe I'm gonna end this year feeling like ??©.   ,cant believe im gonna end this year feeling like
537,"Today is just not a good day, looks like 2014 couldn't end without giving me a final kick in the ass ",today be just not a good day look like couldnt end without give me a final kick in the as
538,"Its been 14 years of journey, I never expect you'll go from this earth today pet's! â feeling depressed",it be year of journey i never expect youll go from this earth today pet feel depress
540,3 hours of sleep in the 3 days? I'm dieing  ,hour of sleep in the day im die
541,"If I did not have to work, I would lay in bed all and talk to no one. ",if i do not have to work i would lay in bed all and talk to no one
544,This has simply been the hardest week n a half of my life. Gotta keep pushing thru. Only 5 more days til I get some answers. ,this have simply be the hard week n a half of my life gotta keep push thru only more day til i get some answer
549,Why did I have to run into the one person in thos world I don't wanna see today? I just want my peace! ,why do i have to run into the one person in thos world i dont wanna see today i just want my peace
550,"Almost killed myself, God... -.-   ",almost kill myself god
551,"I made this account so that I wouldn't be judged by the people I know. Cause if I don't like me, why would anyone else? ",i make this account so that i wouldnt be judge by the people i know cause if i dont like me why would anyone else
552,"It hurts to know I'm practically invisible to you now, that I'm more of a bother to you then anything else.  ",it hurt to know im practically invisible to you now that im more of a bother to you then anything else
553,When you already have everything.. and you still feel lonely.. feeling  ..,when you already have everything and you still feel lonely feel
554,I was unaware this is how this was gonna be  ,i be unaware this be how this be gonna be
557,The day when I don't fuck up anymore is the day I will be successful.... ,the day when i dont fuck up anymore be the day i will be successful
558,"I don't have any new years resolutions, just a prayer that something will take my life this year   ",i dont have any new year resolution just a prayer that something will take my life this year
565,Im not really sad... I just feel empty... ,im not really sad i just feel empty
566,Just gunna sit here and chew til my gums bleed.. ,just gunna sit here and chew til my gum bleed
571,Ugh my arm still hurts!! I just want this to be over and to get back to my life.   ,ugh my arm still hurt i just want this to be over and to get back to my life
575,Well after inviting everyone... No one is coming.... ,well after invite everyone no one be come
576,Sucks when your alone in a big world :( ,suck when your alone in a big world
577,my whole day was spent in my p-jays  its now 6 o'clock and only now do i have to get dressed ,my whole day be spend in my pjays it now oclock and only now do i have to get dressed
579,"Im so glad you can look at me and say Im ignorant, stuiped, and worthless. Its not like I wanted love and support from my mother ",im so glad you can look at me and say im ignorant stuiped and worthless it not like i want love and support from my mother
580,And I'm starting to break down;    pic.twitter.com/0Nk3TChkQq,and im start to break down
581,Do you ever wanna cry in a corner hoping the day goes by faster?... no? Just me? ??????¢???³???­ OK   ,do you ever wanna cry in a corner hop the day go by fast no just me ok
583,When you feel like shit and have no one to vent too   ,when you feel like shit and have no one to vent too
585,I just want my space and my life ????   ,i just want my space and my life
587,Today just isn't a good day for me. :( ,today just isnt a good day for me
588,Will start this new year as I did last one... Jobless and skint!   ,will start this new year a i do last one jobless and skint
589,Losing my uncle after the wedding its just....I dunno ,lose my uncle after the wed it justi dunno
592,Just hoping that 2015 will be better. That would be great.   ,just hop that will be good that would be great
594,"Given the answers after it doesn't matter =   at the bottom, not a single Christian friend.  what now?",give the answer after it doesnt matter at the bottom not a single christian friend what now
597,Laying in bed at 1 pm. Yesterday's therapy session hit me harder than I thought it would. ,lay in bed at pm yesterday therapy session hit me hard than i think it would
599,Omg why does everything have to take so long?? If it's my call it should be quick. Just want my baby girl back. ,omg why do everything have to take so long if it my call it should be quick just want my baby girl back
600,Can I just stay in bed and do nothing? I'm not feeling life today...,can i just stay in bed and do nothing im not feel life today
604,This month has had to be the worst month out of this year ,this month have have to be the bad month out of this year
606,"Looking for some beautiful images. Having a really crappy week, and need some support. . Post some great beauty.  Thank you.",look for some beautiful image have a really crappy week and need some support post some great beauty thank you
608,"All up in my  feels, today... fuckkkk  pic.twitter.com/gNza4Pzn0p",all up in my feel today fuckkkk
610,Why is my life so cruel?????,why be my life so cruel
615,"Always here, right? I'd like to see five of my friends post this message (Not share) to show u are always there if someone needs to talk. I think I know who will. ????  kills ????",always here right id like to see five of my friend post this message not share to show You be always there if someone need to talk i think i know who will kill
621,My mom said she was going to take me to the hospital so I started freaking out. Threw up on the living room floor.  Not much the hospital can do for me so whats the point of going?,my mom say she be go to take me to the hospital so i start freak out throw up on the living room floor not much the hospital can do for me so whats the point of go
622,"With my  I find there is often a unattached feeling of despair that attaches itself to moments, the more fitting a moment the more it expands. People then think it's the sad moment that's the issue, but even without that, the depression is still there.",with my i find there be often a unattached feeling of despair that attach itself to moments the more fitting a moment the more it expand people then think it the sad moment thats the issue but even without that the depression be still there
623,"Suffering from serious depression ????  Sucks my plans, times everything ????   ",suffer from serious depression suck my plan time everything
624,I don't know but today is such a bad day. So much is floating around in my head and I don't wanna do anything. Just wanna lay in bed and cry over how useless and worthless I am. I hate my,i dont know but today be such a bad day so much be float around in my head and i dont wanna do anything just wanna lay in bed and cry over how useless and worthless i be i hate my
625,"Waiting for my ins. to kick in so I can get treated for depression. Until then, for a mere 50 cents I can feed these turtles. They make shit therapists though. They keep telling me to drown myself in their pond so I can become one of them. Its not bad they say ???????????.   pic.twitter.com/0QJRWUgAPH  at McGough Nature Park",wait for my in to kick in so i can get treat for depression until then for a mere cent i can fee these turtle they make shit therapist though they keep tell me to drown myself in their pond so i can become one of them it not bad they say at mcgough nature park
628,"""AUTISM AND DEPRESSION""  ... I hate it when I get the feels... If you suffer from autism, you'll probably get this image...     pic.twitter.com/rz3zmMaK9a",autism and depression i hate it when i get the feel if you suffer from autism youll probably get this image
629,"I have never experienced more of an emotional rollercoaster like I did with my  and  than I did yesterday. Not since I was at least 19. The guilt I feel today for how I treated my child is immense. These disorders are no joke. I'm sorry and I love you, Bug.",i have never experience more of an emotional rollercoaster like i do with my and than i do yesterday not since i be at least the guilt i feel today for how i treat my child be immense these disorder be no joke im sorry and i love you bug
632,And I cant do anything about it ????   pic.twitter.com/xviBD0HpaE,and i cant do anything about it
636,"What I don't know is how to fight the . Lonely at work, lonely at home. Me, my thoughts and silence. You can build a very awful depression on it, doubt it that one can build a positive and happy person from a shit like that. But one can always try, I'll. Advise welcome",what i dont know be how to fight the lonely at work lonely at home me my thought and silence you can build a very awful depression on it doubt it that one can build a positive and happy person from a shit like that but one can always try ill advise welcome
637,"THIS IS  TRYING TO  ME DOWN...DEPRIVING ME OF MY PEACE AND MY SLEEP. THE MISCHIEVOUS ELF REPRESENTS THE REMINDER OF MY , THE DISCOMFORT THE BOY IS EXPERIENCING REPRESENTS HOW MY PAIN IS CONSTANT AND SHARP...I DON'T EXIST TO ANYONE ON TWITTER OR ANYWHERE.????  pic.twitter.com/IrVVVMNkMO",this be try to me downdepriving me of my peace and my sleep the mischievous elf represent the reminder of my the discomfort the boy be experience represent how my pain be constant and sharpi dont exist to anyone on twitter or anywhere
641,"Sucks that the only place I can go to if I cant handle , is the one I dont feel safe in.   And the only person I can _try_ to ask help if I need it, is the one I dont trust.",suck that the only place i can go to if i cant handle be the one i dont feel safe in and the only person i can try to ask help if i need it be the one i dont trust
643,I don't want to be alone right now. Please the one man who can help me deal with this. Don't make me go through this alone. I'm already so broken.,i dont want to be alone right now please the one man who can help me deal with this dont make me go through this alone im already so broken
644,hate being alone man. alone in life alone in my head it just sucks,hate be alone man alone in life alone in my head it just suck
646,"don't tell me to cheer up; w/no friends (i want to see), no gf, no pets, i'm prob more  than u are  ",dont tell me to cheer up wno friend i want to see no gf no pet im prob more than You be
647,"i'm just a lil boat in the middle of the ocean: lost, alone, & always getting battered by forces beyond my control  ",im just a lil boat in the middle of the ocean lose alone always get batter by force beyond my control
649,When youre so unbearably lonely that you want to die.,when youre so unbearably lonely that you want to die
652,I feel I shud not b here   pic.twitter.com/U4K4guKRus,i feel i shud not b here
655,In times like this is when I wonder how it will be like to just be by myself????,in time like this be when i wonder how it will be like to just be by myself
657,My biggest wish is to one day have a true friend. To be accepted the way I am.,my big wish be to one day have a true friend to be accept the way i be
658,"My dark side is also part of me. Trying to tolerate my irritation. Guess I need some , but how without feeling guilty in children holiday season   ",my dark side be also part of me try to tolerate my irritation guess i need some but how without feel guilty in child holiday season
660,"My phone is now strictly for music, memes, twitter, and YouTube bcx nobody calls or texts me???? ",my phone be now strictly for music meme twitter and youtube bcx nobody call or texts me
663,Feeling kind of blue today. A good acquaintance from long back has not answered messages on any of their media platforms in a while...What happened to them? ????    pic.twitter.com/lWtx4Ucqy8,feel kind of blue today a good acquaintance from long back have not answer message on any of their medium platform in a whilewhat happen to them
669,"Next to death, being alone in life is the most feared experience for any human being, regardless of their generational label.  ",next to death be alone in life be the most feared experience for any human be regardless of their generational label
675,Not everyone wants to see me happy ????,not everyone want to see me happy
678,Why it's simple to just stop texting,why it simple to just stop texting
683,is my least favorite thing about life....  pic.twitter.com/JZoErLIrgZ,be my least favorite thing about life
684,"Something I'm trying to do now - but not succeeding. Thinking of totally abandoning all my plans for Kindness Collective, Camerados, Friendly Bench etc and retreating back into my flat and never getting involved with anything again.    pic.twitter.com/OeYiaUa0WG",something im try to do now but not succeed thinking of totally abandon all my plan for kindness collective camerados friendly bench etc and retreat back into my flat and never get involve with anything again
688,Music is my refuge. I can crawl into the space between the notes and curl my back to loneliness.      pic.twitter.com/an8NoNTB6r,music be my refuge i can crawl into the space between the note and curl my back to loneliness
690,Ke na le problem le  guys... there are way too many of us in the world to have some people find themselves lonely and alone.,ke na le problem le guy there be way too many of u in the world to have some people find themselves lonely and alone
693,I always complain about being bored and having no one to hangout with but as soon as someone asks I say no because Ive accepted the fact that I love my bed too much to leave it,i always complain about be bore and have no one to hangout with but as soon a someone ask i say no because ive accept the fact that i love my bed too much to leave it
695,Life can be so lonely sometimes.,life can be so lonely sometimes
698,"It doesnt help that I live on my own in a bachelor apartment the size of a storage locker. I need to find a bigger, & better apartment. , ",it doesnt help that i live on my own in a bachelor apartment the size of a storage locker i need to find a big well apartment
