Unnamed: 0,tweet,tweet_processed
41,I just don't want to participate anymore.,i just dont want to participate anymore
42,Me and Cj just broke up,me and cj just break up
43,Being an  fan is why this nation NEEDS tougher gun laws,be an fan be why this nation need tough gun law
44,"Well, goodbye gents, my life is over...  ",well goodbye gent my life be over
45,I am so  that I am  today,i be so that i be today
46,Haven't seen the sun in weeks!!  ??,havent see the sun in week
47,Michael has been in bed all day barely functional from car +bad cold I have one  Katman :-(,michael have be in bed all day barely functional from car bad cold i have one katman
48,"When all your family is out and you're reading a book, good times, good times???? ",when all your family be out and youre read a book good time good time
49,Well  couldn't really have done much more to spoil Christmas. Pointless beating City if we throw it away against Saints.,well couldnt really have do much more to spoil christmas pointless beat city if we throw it away against saint
50,I feel so attacked all the time ??,i feel so attack all the time
51,"If  ""ME"" is too light enough to float in the air , this ""ME"" will fall down to the point called suicide.    ",if me be too light enough to float in the air this me will fall down to the point call suicide
52,Why do i always get treated like this...ugh!!!,why do i always get treat like thisugh
53,Why the hell is no one around when I need them,why the hell be no one around when i need them
54,"Everything seems wrong and I don't know what to do anymore, it's just so hard   ",everything seem wrong and i dont know what to do anymore it just so hard
55,I don't think anyone fully comprehends how my back pain affects me emotionally.,i dont think anyone fully comprehend how my back pain affect me emotionally
56,A lot of  and  people out there looking for  but can't find it...,a lot of and people out there look for but cant find it
57,Think ill have a nap - need it after that game,think ill have a nap need it after that game
58,"In St.Thomas. Can't tweet and watch PLL, wifi sucks. ",in stthomas cant tweet and watch pll wifi suck
59,So the  s are over...first time I had to celebrate it by own..,so the s be overfirst time i have to celebrate it by own
60,finally finished one tree hill & now I don't know what to do with my life,finally finish one tree hill now i dont know what to do with my life
61,"Sleep always makes the pain go away. It might not be for long, but at least it's gone. ",sleep always make the pain go away it might not be for long but at least it go
62,The worst part of my life is...  Taking down the Christmas Decorations...I am now,the bad part of my life be take down the christmas decorationsi be now
63,"Don't be  due to -ve activities of other's-Be  & understand,""Addicted of -ve ego satisfaction is dangerous""-Make distance",dont be due to ve activity of othersbe understandaddicted of ve ego satisfaction be dangerousmake distance
64,"It's sucks when you don't know what is wrong, but you know something is wrong. .   ",it suck when you dont know what be wrong but you know something be wrong
65,Bored as fucking shit christmas in a hospital isnt so fucking fun,bore a fuck shit christmas in a hospital isnt so fucking fun
66,"Why is it that every one gets  what I want,  I guess  whatever...   ",why be it that every one get what i want i guess whatever
67,wish things weren't how they are now. This year has had so much heart trauma. Makes my head spin for hours. Ugh I miss you,wish thing werent how they be now this year have have so much heart trauma make my head spin for hour ugh i miss you
68,Christmas just ain't what it used to be.,christmas just aint what it use to be
69,This is my  stance....  pic.twitter.com/YI7vjfXH05,this be my stance
70,"That feeling when you get your drawing tablet, and your not a pro expert manga drawer right off the bat. ",that feel when you get your draw tablet and your not a pro expert manga drawer right off the bat
71,"Realization: No matter how long I live, ""All I Want for Christmas Is You"" will outlast me. ",realization no matter how long i live all i want for christmas be you will outlast me
72,I'm not  or . I always grow my toenails out and don't shave. Duh.,im not or i always grow my toenail out and dont shave duh
73,You are not and never will be ALONE. We are all deeply interconnected.,you be not and never will be alone we be all deeply interconnect
74,"Emotional day, well time of the year for me ",emotional day well time of the year for me
75,"Well, I didn't receive any presents this year. Maybe it'll receive them in a couple of days or maybe next year.  ??????????????",well i didnt receive any present this year maybe itll receive them in a couple of day or maybe next year
76,Damn I'm the only one who didn't get JB tickets??,damn im the only one who didnt get jb ticket
77,"Yet another  all alone, with no family, nobody at all apart from my pets.  I just feel like crying",yet another all alone with no family nobody at all apart from my pet i just feel like cry
78,Life's turned out totally different than you thought_You're lost & alone_Desperately Need Help-JesusChristHeals&SavesASK,life turn out totally different than you thoughtyoure lose alonedesperately need helpjesuschristhealssavesask
79,"..I know he wouldn't want me to cry or be , I heard that a million times along the way, but it's easier said then done. Miss him.",i know he wouldnt want me to cry or be i heard that a million time along the way but it easier say then do miss him
80,i didnt get the ariana calendar.,i didnt get the ariana calendar
81,"Gene Simmons, Ph.D. offers mental wellbeing to  souls. ",gene simmons phd offer mental wellbeing to souls
82,Just finished desperate housewives,just finish desperate housewife
83,My bf said him and his parents drunk wrapping gifts ????????,my bf say him and his parent drink wrap gift
84,Christmas and gabe is not with me ???? what is life rn.,christmas and gabe be not with me what be life rn
85,I just found my first grey hair. Worst Christmas gift EVER. Looks like I will be coloring my hair tomorrow,i just find my first grey hair bad christmas gift ever look like i will be color my hair tomorrow
86,All my photos from July disappeared. I could cry. Santa what have you done............,all my photo from july disappear i could cry santa what have you do
87,"It used to be talking about nothing for hours, now it's just not talking. Really, what happened??  ",it use to be talk about nothing for hour now it just not talk really what happen
88,Where I thought I'd be tonight and who I'm with are not what I had in mind for Christmas.,where i think id be tonight and who im with be not what i have in mind for christmas
89,First yr not being around my dad on da holidays n it's breaking my heart  I wish he just call me that's all i want 4 Christmas,first yr not be around my dad on da holiday n it breaking my heart i wish he just call me thats all i want christmas
90,I just got off work I don't have any food at my house bc leaving tomorrow and McDonald's isn't even open right now,i just get off work i dont have any food at my house bc leave tomorrow and mcdonalds isnt even open right now
91,First Christmas Eve in almost 20 years that I won't be sleeping with @lizwillis_,first christmas eve in almost year that i wont be sleep with
92,Wanted to watch the TNF game but I forgot my parents cancelled the NFL Network package ????,want to watch the tnf game but i forget my parent cancel the nfl network package
93,Alone? We have no family coming this year..hit me up for a chat! Would love to keep folks company :),alone we have no family come this yearhit me up for a chat would love to keep folk company
94,Can people please stop posting pics with their families. Thanks.,can people please stop post pic with their family thanks
95,All I want for Christmas is my daughters to come home ?? is that to much,all i want for christmas be my daughter to come home be that to much
96,"Being clinically  is not the same thing as having a bad day now and then. It's a relentless, debilitating disease",be clinically be not the same thing a have a bad day now and then it a relentless debilitate disease
97,Tonight couldn't feel less like Christmas Eve,tonight couldnt feel less like christmas eve
98,Even if she is tipsy I love her -Joe     pic.twitter.com/qHSAqDJN9j,even if she be tipsy i love her joe
99,Well another day almost gone. So crawling back into my hole and hiding now.,well another day almost go so crawl back into my hole and hiding now
100,"I need a Harry Hug. Just a hug, nothing else. ",i need a harry hug just a hug nothing else
101,I feel like I'm just waiting for the day to be over to get to the next day so I'll be one day closer to my life changing.,i feel like im just wait for the day to be over to get to the next day so ill be one day close to my life change
102,It's gutting seeing everyone's snapchats of them getting on it while I'm stuck at work for Christmas and new year,it gutting see everyones snapchats of them get on it while im stuck at work for christmas and new year
103,So much for Xmas eve   pic.twitter.com/0hIsigongM,so much for xmas eve
104,So my blood pressure is back up,so my blood pressure be back up
105,Its 2:37 & I event left nor have I ate....,it 37 i event leave nor have i eat
106,Was called a slut last nightum I'm not oneI don't have sex with every guy I meetget it right people??????,be call a slut last nightum im not onei dont have sex with every guy i meetget it right people
107,"when ur really  on xmas eve :,)",when ur really on xmas eve
108,I really got a hair cut last night  ??,i really get a hair cut last night
109,The 1st thing I do when I'm  is look up sad things. I think I need to be looking up happy things instead.  pic.twitter.com/7h5BkVZKB8,the st thing i do when im be look up sad thing i think i need to be look up happy thing instead
110,Laying in bed til work  highlight of my day will be drinking  tonight ??,lay in bed til work highlight of my day will be drink tonight
111,"I'm not suicidal. But I admit, there are moments where I wonder... ",im not suicidal but i admit there be moment where i wonder
112,No one understands me... myself included...,no one understand me myself include
113,Can't go back to sleep and I got work in 2 hours..,cant go back to sleep and i get work in hour
114,It's very hard to feel better because it's been so long that I don't remember what better felt like!!,it very hard to feel well because it be so long that i dont remember what good felt like
115,"tbh, I'm NOT that Excited to celebrate Christmas because of my disappointments -__-  ",tbh im not that excite to celebrate christmas because of my disappointment
116,This time last year I was on a plane to New York...,this time last year i be on a plane to new york
117,"Hell's teeth, this day just gets better. No Her earlier; dragged into the office; assumed she was already there. She's not. ",hell teeth this day just get well no her early drag into the office assume she be already there shes not
118,Don't feel good at all right now    no one to talk to,dont feel good at all right now no one to talk to
119,HealthTap: I haven't eaten anything all day because I feel  and low What should I do? ,healthtap i havent eaten anything all day because i feel and low what should i do
120,I am so sad I have to work on Christmas. My favorite time of year & I'm gonna be working &/or alone in my apartment ??????????,i be so sad i have to work on christmas my favorite time of year im gonna be work or alone in my apartment
121,"Today, set up 3 coffee dates with people you suspect are ,  or just need to talk.  pic.twitter.com/OgPY3IdGAO",today set up coffee date with people you suspect be or just need to talk
122,Tonight ended exactly how I didn't want it to,tonight end exactly how i didnt want it to
123,Why are these fine guys on my timeline? Get off your too hot for me. I can't take it anymore.,why be these fine guy on my timeline get off your too hot for me i cant take it anymore
124,"I hate when my sisterssay ""I'm going kill myself"" Ugh so fucking triggering   ",i hate when my sisterssay im go kill myself ugh so fucking trigger
125,Happy holidays and Merry Christmas. It's a rough time if you are . I know. It will be over soon.,happy holiday and merry christmas it a rough time if you be i know it will be over soon
126,So I put a movie in for us to watch as a family & I'm the only one here everyone left for bed.    hope ur all ??,so i put a movie in for u to watch a a family im the only one here everyone leave for bed hope ur all
127,Had the best week w my ppl but wish there didn't have to be another goodbye,have the best week w my ppl but wish there didnt have to be another goodbye
128,"This time of the year is USUALLY full of excitement, not for me ",this time of the year be usually full of excitement not for me
129,I'm now jealous of Georgia Southern. Welcome to my life as an FAU fan.,im now jealous of georgia southern welcome to my life a an fau fan
130,Didn't even congratulations on the mixtape ?????????,didnt even congratulation on the mixtape
131,"When u have a cute outfit idea, but u got too fat and can't fit in the pants ?? ",when You have a cute outfit idea but You get too fat and cant fit in the pant
132,Just watched  .. Now  cause we all know  will never be THAT great! ????,just watch now cause we all know will never be that great
133,"At least  is over 26 minutes ago, but the effects of the Twitter torture still lingers inside of me. , .",at least be over minute ago but the effect of the twitter torture still linger inside of me
134,Feeling like a worthless piece of trash ????,feel like a worthless piece of trash
135,So not in the mood for all this Christmas shit   #,so not in the mood for all this christmas shit
136,We'd be perfect together but Im to shy and you wont reach out so i guess we'll never know what could of been.,wed be perfect together but im to shy and you wont reach out so i guess well never know what could of be
137,Can't believe this Christmas is going to be a repeat of last year.,cant believe this christmas be go to be a repeat of last year
138,"When your halfway finished w your drink and you think ""dam, I should've put another shot in there"" ",when your halfway finish w your drink and you think dam i shouldve put another shot in there
139,"After watching Kepner and Avery lose their baby, I will forever be scared that that will happen to me.  ",after watch kepner and avery lose their baby i will forever be scar that that will happen to me
140,All a Nigga wanna do now send time with his girl . . is that so much to ask ?? Asf,all a nigga wanna do now send time with his girl be that so much to ask asf
141,when Martin stole Sonja's pizza on the MG show ep 4????????,when martin steal sonjas pizza on the mg show ep
142,Not in the spirit of  . In fact,not in the spirit of in fact
143,When you go do that it makes me feel like I'm horrible at it I'm sorry,when you go do that it make me feel like im horrible at it im sorry
144,not to happy about this weather ..,not to happy about this weather
145,"My littlest brother is leaving for  tonight. Only like 1-2hours left with him.???????Happy for him,  he is moving.",my little brother be leave for tonight only like 2hours leave with himhappy for him he be move
146,Man it's terrible when your  an got a lot of problems more then you can say.,man it terrible when your an get a lot of problem more then you can say
147,One of the saddest day of this year for me ??    ( hope to get out of it soon) ??,one of the sad day of this year for me hope to get out of it soon
148,Right b4 Christmas & bf breaks the news he's not taking me 2  for my birthday,right Before christmas bf break the news hes not take me for my birthday
149,"So close to  just wondering why in feeling so  ""'tis the season to be Jolly""",so close to just wonder why in feeling so ti the season to be jolly
150,Brandy is going to a dog hotel for a couple of days,brandy be go to a dog hotel for a couple of day
151,"When bad dreams come true, got me feeling like Crapulet ",when bad dream come true get me feel like crapulet
152,"Knowing you can help someone , but you can't even help yourself   ",know you can help someone but you cant even help yourself
153,This time last year I was getting ready to jet off to Abu Dhabi ????,this time last year i be get ready to jet off to abu dhabi
154,"Personally, I do not have the ""energy"" to celebrate Christmas -___-  ",personally i do not have the energy to celebrate christmas
155,I really don't know what I'm going to do about Christmas.,i really dont know what im go to do about christmas
156,"Im  home . Feeling very low, and unwanted especially by my own family.Feeling very  !!",im home feel very low and unwanted especially by my own familyfeeling very
157,"You know, late night tv is thematic. Farmer's Only ads mixed in with some Asian chick in a Football jersey talking about Viagra. ",you know late night tv be thematic farmer only ad mix in with some asian chick in a football jersey talk about viagra
158,too soon for drinks. Ice cream and a movie  read bad reviews but will the lead get another oscar???,too soon for drink ice cream and a movie read bad review but will the lead get another oscar
159,When i just keep hating my life due the others that put an extreme pressure on me...    ,when i just keep hat my life due the others that put an extreme pressure on me
160,It's been 1 year since my husband and I flew to NYC for Christmas ????????,it be year since my husband and i fly to nyc for christmas
161,This has been a long night...,this have be a long night
162,This night was supposed to be fun but its really not...,this night be suppose to be fun but it really not
163,Sudden feeling of darkness.... Show me the light Ray I'm feeling pretty hopeless,sudden feeling of darkness show me the light ray im feel pretty hopeless
164,"For 2016 - Up my  game,  move out of  (since London is too expensive), beat  and maybe settle down with someone :)",for up my game move out of since london be too expensive beat and maybe settle down with someone
165,"My brain caught a bug, Or maybe it was my heart, Darkness gives a fucj    ",my brain catch a bug or maybe it be my heart darkness give a fucj
166,"""And when I'm laying in my bed, I think about life and I think about death...neither one...appeals to me. ""  ",and when im laying in my bed i think about life and i think about deathneither oneappeals to me
167,Wake me up in March.,wake me up in march
168,that u can't get a dr's note to excuse u from work b/c of your . So u go 2 work anyway & fake it.,that You cant get a drs note to excuse You from work bc of your so You go work anyway fake it
169,It creeps up on you    ,it creep up on you
170,If  is an issue for you tonight then call the Samaritans (116 123) or Breathing Space (0800 83 85 87),if be an issue for you tonight then call the samaritan 116 or breathe space 0800
171,Is it weird that my  and   turns bad when it comes to  ?,be it weird that my and turn bad when it come to
172,"8 years ago I was at rock bottom, crippled by . Since then I've come a long way & I'm sure 2016 will continue the upward trend!",year ago i be at rock bottom cripple by since then ive come a long way im sure will continue the upward trend
173,Im like lost without waterfowl hunting or bowfishing.,im like lose without waterfowl hunting or bowfishing
174,"I woke up and said ""I should get a cat.""  ",i wake up and say i should get a cat
175,"Just a thought, have I become afraid of things, safety in routine, what I know? ?  ",just a thought have i become afraid of thing safety in routine what i know
176,"For all of those who suffer from   and find NYE difficult, I know we can get through it together.",for all of those who suffer from and find nye difficult i know we can get through it together
177,surrounded by winter and constantly aware of it (,surround by winter and constantly aware of it
178,", , and  can be scary. Call 314-645-1567 to turn those monsters into smaller obstacles!  ",and can be scary call 6451567 to turn those monster into small obstacle
179,is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more!  pic.twitter.com/gbkOpobFY3,be in the news a lot for treat and other condition but what be it contact u to learn more
180,I can't believe the amount of junk food and how long it's lasted in my kitchen 'sabitch,i cant believe the amount of junk food and how long it last in my kitchen sabitch
181,We want to help you with your . Give our office a call to learn how  may be the treatment you've been waiting for!,we want to help you with your give our office a call to learn how may be the treatment youve be wait for
182,We want to help you with your . Give our office a call to learn how  may be the treatment you've been waiting for!,we want to help you with your give our office a call to learn how may be the treatment youve be wait for
183,feeling so alone and misunderstood.,feel so alone and misunderstood
184,And just like that Texas Christmas Reunion is over  ??,and just like that texas christmas reunion be over
185,"Nobody understands, I don't even understand most of the time..... ",nobody understand i dont even understand most of the time
186,RT StayYoungMedia Cure your  without the harmful side effects of   pic.twitter.com/QZzAgrOZbb,stayyoungmedia cure your without the harmful side effect of
187,RT findrealhealth Using  to manage  or ? Learn the side effects   pic.twitter.com/nGJndXHvlm,findrealhealth use to manage or learn the side effect
188,It's not always the tears that measure the pain. Sometimes it's the smile we fake.,it not always the tear that measure the pain sometimes it the smile we fake
189,The worst kind of pain is keeping yourself laughing to avoid the tears from falling.   ,the bad kind of pain be keep yourself laugh to avoid the tear from fall
190,is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more! ,be in the news a lot for treat and other condition but what be it contact u to learn more
191,":) I hate this emo and this feeling ""fake smile"" ",i hate this emo and this feeling fake smile
192,"Another -like drug that may hold out some hope for rapid treatment of  is lanicemine (Sanacora G, Mol Psychiatry. 2014)",another like drug that may hold out some hope for rapid treatment of be lanicemine sanacora g mol psychiatry
193,"Possible 2016 treatment breakthrough for  and suicidal thinking using ketamine & similar drugs? (Rajkumar R, Pharmacol Res, 2015)",possible treatment breakthrough for and suicidal thinking use ketamine similar drug rajkumar r pharmacol re
194,We offer  Therapy to our patients to treat  and other conditions. Contact us today to learn more.  pic.twitter.com/7AO84RAPNY,we offer therapy to our patient to treat and other condition contact u today to learn more
195,"RT keithllbllm Happy New Year- try to have more Worth Living moments of hope, health &  happiness.   pic.twitter.com/rez61PZZVj",keithllbllm happy new year try to have more worth living moment of hope health happiness
196,why doesnt she like meeeeeeeeeee,why doesnt she like meeeeeeeeeee
197,is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more!  ,be in the news a lot for treat and other condition but what be it contact u to learn more
198,"You can take steps at home to help your day to day , but we are also here to help. Contact us today.  pic.twitter.com/HFmoqiu7sU",you can take step at home to help your day to day but we be also here to help contact u today
199,Depression and man flu good end to the year,depression and man flu good end to the year
200,Just you wait and see the girl you once called fat will be the girl you wish you could have   pic.twitter.com/fCdBFrEys7,just you wait and see the girl you once call fat will be the girl you wish you could have
201,I can still fucking hear you bitch.,i can still fuck hear you bitch
202,"Mom talks about suicides and ""how people are selfish and we should NOT go to their funerals"" and shuts my door.  ",mom talk about suicide and how people be selfish and we should not go to their funeral and shuts my door
203,"May the new year abound in Hs: Health, Hope, Healing, Happiness And H-coils!     ",may the new year abound in hs health hope heal happiness and hcoils
204,I'm welcoming  after my first full calendar year since overcoming . This year I go all the way to realms uncharted.,im welcoming after my first full calendar year since overcome this year i go all the way to realms uncharted
205,Shout out to everyone with  preparing to put their mask on & pretend to be happy for .  Icy bubble all over,shout out to everyone with prepare to put their mask on pretend to be happy for icy bubble all over
206,Spare a thought tonight for all those suffering from  - it's not easy when you feel down and everyone around you is celebrating.,spare a thought tonight for all those suffer from it not easy when you feel down and everyone around you be celebrate
207,RT if you ever beat or battle with,if you ever beat or battle with
208,"If you are living with , , don't fall for the so-called ""cure"" peddlers here on Twitter. Seek professional medical help.",if you be live with dont fall for the socalled cure peddler here on twitter seek professional medical help
209,Already losing my mind. 6 weeks of this shit of no work or working out left.,already lose my mind week of this shit of no work or work out leave
210,RT AnotherAznTart I shared this last year but it still makes me giggle so I'll share it again. ?   ,anotherazntart i share this last year but it still make me giggle so ill share it again
211,Its only 3 oclock in the afternoon and its dark and raining  Like mad! I hate this so much!,it only oclock in the afternoon and it dark and rain like mad i hate this so much
212,"I find it hard today to be grateful for 2015. I had hoped for more progress in my recovery. So, i let you go 2015.  ",i find it hard today to be grateful for i have hop for more progress in my recovery so i let you go
213,"I'm now casting for potential  for my ""Learning to swim"" photography project about .  pic.twitter.com/rnJp6UX2eV",im now cast for potential for my learning to swim photography project about
214,Broken As I take this shattered glass And run it down my skin I hope for you the best In your devilish sin,break a i take this shattered glass and run it down my skin i hope for you the best in your devilish sin
215,"Dark place last year, I don't want to ever go back to that!   ",dark place last year i dont want to ever go back to that
216,is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more! ,be in the news a lot for treat and other condition but what be it contact u to learn more
217,No surprised so many with  &  struggle so much when the only help you get is take drugs and if they don't work take more,no surprise so many with struggle so much when the only help you get be take drug and if they dont work take more
218,: don't let other's emotions corrupt your mind; beacause that paves the path to,dont let others emotion corrupt your mind beacause that pave the path to
219,ok but real talk for a moment .... the thing with having depression from for so long from such a young age is that it's-,ok but real talk for a moment the thing with have depression from for so long from such a young age be that it
220,"To ppl tweeting ""The leading cause of depression is reality.""  How pithy. What know you of ? Show some empathy. Just stop it.",to ppl tweet the lead cause of depression be reality how pithy what know you of show some empathy just stop it
221,I want to leave Depression in 2015! I'm bored of it now. I'm dragging my black dog out for another run,i want to leave depression in im bore of it now im drag my black dog out for another run
222,"another wee message - for those of us that feel a relapse over the holidays, you're not alone. I'm right there with you  ",another wee message for those of u that feel a relapse over the holiday youre not alone im right there with you
223,"If this is your response to someone saying they're dealing with , you're a terrible person.  ",if this be your response to someone say theyre deal with youre a terrible person
224,Just realised I haven't cleaned my teeth in days,just realise i havent clean my teeth in day
225,I have depression ? pff.....no.... . . . . . maybe...,i have depression pffno maybe
226,And so we arrive at the eve of the worst month of the year.  .  Any tips on making January more bearable?,and so we arrive at the eve of the bad month of the year any tip on make january more bearable
227," is serious, so let's treat it seriously. Don't just brush it off, tell someone, and if some one tells you, don't over react.",be serious so let treat it seriously dont just brush it off tell someone and if some one tell you dont over react
228,"Very apt as I'm currently sat in the pharmacy, waiting for my latest batch of drugs!    ",very apt a im currently sit in the pharmacy wait for my late batch of drug
229,Happy new year - thank you for moving against  with us! ,happy new year thank you for move against with u
230,"New Years Eve,The day I always dread.???? ",new year evethe day i always dread
231,Sometimes it's songs in the dark in the smallest world possible that make all the difference.,sometimes it song in the dark in the small world possible that make all the difference
232,You must get up from right where you are. Do that and your battles are 70% over. let's talk,you must get up from right where you be do that and your battle be over let talk
233,can depression stop lack of promotion at work??,can depression stop lack of promotion at work
234,Depression reality: Trapped inside my skin and trying to tear myself out but no-one knows I'm trapped or sees my struggle.,depression reality trap inside my skin and try to tear myself out but noone know im trap or see my struggle
235,Have you withdrawn from those in your camp or others around you? You could be in a depressed state of mind.,have you withdraw from those in your camp or others around you you could be in a depressed state of mind
236,"Depression.....SUCKS!!! I would NEVER wish this on anyone, it just.....sucks. Tired of it controlling my life, I really am?????????? ",depressionsucks i would never wish this on anyone it justsucks tire of it control my life i really be
237,What I feel like when I realize that there's no more Walking Dead until February 14th    ,what i feel like when i realize that theres no more walking dead until february th
238,why doesnt she like meeeeeeeeeee,why doesnt she like meeeeeeeeeee
239,"Here it is, 1:20am, and I'm wide awake. I thought  was supposed to know my ass out? Instead my mind is racing.  ",here it be 20am and im wide awake i think be suppose to know my as out instead my mind be race
240,I hate when the person you have a crush on has a girlfriend/boyfriend,i hate when the person you have a crush on have a girlfriendboyfriend
241,Loading my pipe and smoking this depression away,load my pipe and smoking this depression away
242,Just got some very unpleasant news about my uncle...I am so happy that Marijuana exists.,just get some very unpleasant news about my unclei be so happy that marijuana exists
243,"Deeper and deeper, the river flows downstream degrading even the strongest minerals.    ??",deeper and deeper the river flow downstream degrade even the strong mineral
244,"""Depression, a strange yet comforting company.    ",depression a strange yet comfort company
245,Honestly I wouldn't I get why im the last choice for everything ??   ,honestly i wouldnt i get why im the last choice for everything
246,: 1 in 4  businesses are forced out of business because of the ongoing Economic,in business be force out of business because of the ongoing economic
247,"Being so fucking composed all the time is getting tiring, I need to have a mental breakdown at some point   ",be so fuck compose all the time be get tire i need to have a mental breakdown at some point
248,It's a  when your neighbor loses his job; it's a  when you lose yours.,it a when your neighbor lose his job it a when you lose yours
249,That moment when your depression kicks in even more....,that moment when your depression kick in even more
250,"Up at 4am, angsty about not able to exercise (injury), desperate to run away on adventure .. Fucking, fuck; Black Dog's hunting ",up at be angsty about not able to exercise injury desperate to run away on adventure fuck fuck black dog hunt
251,For all those out there suffering with  and or  this is for you ,for all those out there suffer with and or this be for you
252,Sometimes the most difficult thing for a person is facing themselves.,sometimes the most difficult thing for a person be face themselves
253,Rt if you're a depression or Ed acc.  Follow everyone who RT's this!  I will too! Ready? GO!,rt if youre a depression or ed acc follow everyone who rts this i will too ready go
254,A whopping 9% of adults in America are depressed. Another 3.4% are deeply depressed. Let's Talk!,a whopping of adult in america be depress another be deeply depressed let talk
255,Ever feel like just not eating...or drinking anything?,ever feel like just not eatingor drinking anything
256,"It's hard not to be part of the 22, remain strong and get HELP   ",it hard not to be part of the remain strong and get help
257,"What's worse,  I don't want her knowing my whereabouts.   I'm tired of the , the  & not being able to live life.",whats worse i dont want her know my whereabouts im tire of the the not be able to live life
258,You don't have to be sad because of depression! Get help. Get clear!,you dont have to be sad because of depression get help get clear
259,"I hate this feeling, but I brought it on myself   I hope that those I have hurt won't give up on me ??",i hate this feeling but i bring it on myself i hope that those i have hurt wont give up on me
