tweet,automated_readability_index,coleman_liau_index,flesch_kincaid_grade_level,flesch_reading_ease,gulpease_index,gunning_fog_index,lix,smog_index,wiener_sachtextformel,n_chars,n_long_words,n_monosyllable_words,n_polysyllable_words,n_sents,n_syllables,n_unique_words,n_words,sent_neg,sent_neu,sent_pos,sent_compound,economic_stress_total,isolation_total,substance_use_total,guns_total,domestic_stress_total,suicidality_total,punctuation
get everybody house tryna dance,6.504000000000001,10.0329354,0.5200000000000031,100.24000000000002,95.0,2.0,25.0,3.1291,-0.06099999999999994,27,1,4,0,1,6,5,5,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
si leave may right,-1.7674999999999983,-1.1481827499999984,-2.2299999999999986,118.17500000000001,126.5,1.6,4.0,3.1291,-3.4762,15,0,4,0,1,4,4,4,0.286,0.714,0.0,-0.0516,0,0,0,0,0,0,0.0
celebrity make sing videos top k case worldwide,6.120000000000001,9.900041000000005,0.8049999999999997,103.54,76.5,3.2,33.0,3.1291,0.8438499999999998,40,2,7,0,1,9,8,8,0.0,0.769,0.231,0.2023,0,0,0,0,0,0,0.0
boarder force police airport make sure return affected country,11.330000000000005,16.190826444444443,6.2755555555555596,66.10000000000002,62.333333333333336,3.6,53.44444444444444,3.1291,4.940911111111111,54,4,4,0,1,14,9,9,0.147,0.642,0.211,0.1779,0,0,0,0,0,0,0.0
daughter ia son kolkata officer son railway official famous elite singer,10.617272727272727,14.650421636363639,9.081818181818182,49.54272727272729,59.90909090909091,8.036363636363637,56.45454545454545,8.841846274778883,7.429654545454545,62,5,4,1,1,19,10,11,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
uninsured covid19 patient get medical bill 3492743 story,11.418749999999996,16.514873375,8.180000000000003,50.66500000000002,65.25,13.200000000000001,70.5,11.20814326018867,11.771350000000002,49,5,4,2,1,14,8,8,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
sister wed get postpone bc literally move whole entire wed two month later vendor like,7.018235294117648,7.3616661176470615,6.310588235294119,80.09764705882355,64.29411764705883,9.15294117647059,28.764705882352942,8.841846274778883,2.1309294117647064,72,2,13,1,1,22,15,17,0.109,0.747,0.144,0.1531,0,0,0,0,0,0,0.0
sorry sir mp chennai central like constituent expect worry safety health,10.617272727272727,14.650421636363639,5.863636363636363,72.61545454545457,59.90909090909091,8.036363636363637,38.27272727272727,8.841846274778883,4.179654545454547,62,3,7,1,1,16,11,11,0.255,0.424,0.321,0.2732,0,0,0,0,0,0,0.0
celebrity make sing videos top k case worldwide,6.120000000000001,9.900041000000005,0.8049999999999997,103.54,76.5,3.2,33.0,3.1291,0.8438499999999998,40,2,7,0,1,9,8,8,0.0,0.769,0.231,0.2023,0,0,0,0,0,0,0.0
dominican find cure,6.759999999999998,7.655925000000003,5.246666666666666,62.79000000000002,132.33333333333334,14.533333333333335,36.333333333333336,8.841846274778883,8.219933333333335,17,1,2,1,1,5,3,3,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
national health service precious free point use luxury never take grant,10.189090909090911,14.11588972727273,6.936363636363637,64.9245454545455,60.81818181818182,8.036363636363637,38.27272727272727,8.841846274778883,4.4769272727272735,61,3,6,1,1,17,11,11,0.123,0.468,0.409,0.7087,0,0,0,0,0,0,0.0
music,2.620000000000001,-15.988828999999996,8.400000000000002,36.62000000000003,339.0,0.4,1.0,3.1291,-0.7078,5,0,0,0,1,2,1,1,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
hi bit situation organise german gov tackle crisis,7.88625,12.104985125000002,5.230000000000004,71.81500000000001,72.75,8.200000000000001,33.0,8.841846274778883,4.080100000000001,43,2,5,1,1,12,8,8,0.369,0.631,0.0,-0.6249,0,0,0,0,0,0,0.0
mcat get cancel throw hand,1.7940000000000005,4.1530844000000045,0.5200000000000031,100.24000000000002,105.0,2.0,5.0,3.1291,-2.6550000000000002,22,0,4,0,1,6,5,5,0.244,0.366,0.39,0.296,0,0,0,0,0,0,0.0
fan really need hear bc theyre probably still beach make stranger,6.157500000000002,8.682906416666672,1.8733333333333313,103.00500000000001,68.16666666666666,4.800000000000001,28.666666666666668,3.1291,0.2955666666666663,55,2,11,0,1,13,12,12,0.0,0.813,0.187,0.3182,0,0,0,0,0,0,0.0
texas ny amp cali large state cuomo amp newsom aggressive knowing whats comein texas greg abbo,8.957647058823529,9.78278123529412,6.310588235294119,80.09764705882355,60.1764705882353,11.505882352941178,28.764705882352942,11.20814326018867,3.076811764705883,79,2,14,2,1,22,15,17,0.096,0.904,0.0,-0.1531,0,0,0,0,0,0,0.0
dotard con own mess,-0.5899999999999999,0.32178000000000395,0.7199999999999989,97.025,124.0,1.6,4.0,3.1291,-2.6587,16,0,3,0,1,5,4,4,0.455,0.545,0.0,-0.3612,0,0,0,0,0,0,0.0
black people watch united state spend trillion bailouts say,9.760000000000002,14.230876111111112,2.342222222222226,94.30000000000003,65.66666666666667,3.6,31.22222222222222,3.1291,0.9686888888888898,51,2,7,0,1,11,9,9,0.0,0.741,0.259,0.4215,0,0,0,0,0,0,0.0
yall dirty mf bring home miami amp increase hr,1.468,3.583901800000003,1.2900000000000027,103.62500000000001,81.0,4.0,20.0,3.1291,-0.8489999999999998,38,1,9,0,1,11,10,10,0.238,0.574,0.189,-0.1531,0,0,0,0,0,0,0.0
girl student bundle single room call quarantine one,8.475000000000001,12.839966500000006,3.7550000000000026,82.39000000000001,71.5,8.200000000000001,33.0,8.841846274778883,3.6713500000000003,44,2,6,1,1,11,8,8,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0.0
ever wanna fuck around come parent like kick anything shit,6.649000000000001,10.051737900000003,2.4700000000000024,95.165,70.0,4.0,20.0,3.1291,-0.5219999999999998,49,1,8,0,1,12,10,10,0.428,0.422,0.151,-0.6808,1,0,0,0,0,0,0.0
either joke lie,0.4800000000000004,-0.1838763333333322,-2.6199999999999974,119.19000000000003,145.66666666666666,1.2000000000000002,3.0,3.1291,-3.6434,13,0,3,0,1,3,3,3,0.0,0.476,0.524,0.296,0,0,0,0,0,0,0.0
premenstrual body ache get fucking receptionist,14.54,20.42693966666667,12.316666666666666,17.44500000000002,69.0,15.733333333333334,56.0,11.20814326018867,11.428200000000002,42,3,3,2,1,13,6,6,0.342,0.658,0.0,-0.3818,0,0,0,0,0,0,0.0
si leave may right,-1.7674999999999983,-1.1481827499999984,-2.2299999999999986,118.17500000000001,126.5,1.6,4.0,3.1291,-3.4762,15,0,4,0,1,4,4,4,0.286,0.714,0.0,-0.0516,0,0,0,0,0,0,0.0
offense disappear april actually suck,12.155999999999999,17.088756600000004,9.96,32.56000000000003,83.0,18.0,65.0,11.20814326018867,14.175,33,3,2,2,1,10,5,5,0.773,0.227,0.0,-0.7003,0,0,0,0,0,0,0.0
basic general name type crownlike spike exterior ar,8.475000000000001,12.839966500000006,9.655000000000001,40.09,71.5,13.200000000000001,45.5,11.20814326018867,8.52885,44,3,4,2,1,15,8,8,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
oau close send student homein compliance directive federal government announce h,14.04272727272727,18.926676909090915,11.227272727272727,34.160909090909115,52.63636363636364,18.94545454545455,65.54545454545455,14.554592549557764,13.588745454545455,70,6,5,4,1,21,11,11,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
uninsured covid19 patient get medical bill 3492743 story,11.418749999999996,16.514873375,8.180000000000003,50.66500000000002,65.25,13.200000000000001,70.5,11.20814326018867,11.771350000000002,49,5,4,2,1,14,8,8,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
uninsured covid19 patient get medical bill 3492743 story,11.418749999999996,16.514873375,8.180000000000003,50.66500000000002,65.25,13.200000000000001,70.5,11.20814326018867,11.771350000000002,49,5,4,2,1,14,8,8,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
need free worldand blue tick,3.6779999999999973,6.505024800000001,-1.8399999999999999,117.16000000000003,101.0,2.0,25.0,3.1291,-0.7149999999999999,24,1,5,0,1,5,5,5,0.0,0.548,0.452,0.5106,0,0,0,0,0,0,0.0
yall dirty mf bring home miami amp increase hr,1.468,3.583901800000003,1.2900000000000027,103.62500000000001,81.0,4.0,20.0,3.1291,-0.8489999999999998,38,1,9,0,1,11,10,10,0.238,0.574,0.189,-0.1531,0,0,0,0,0,0,0.0
plan month cancel due angry everything experience hell earth think rip tear horde demon fictional hell,12.180625,14.321680812500002,7.612500000000001,68.9825,53.375,11.4,34.75,11.20814326018867,4.198324999999999,87,3,12,2,1,23,15,16,0.547,0.453,0.0,-0.9382,0,0,0,0,0,0,0.0
someone tiktok say shouldve come last year couldve class covid19,6.157500000000002,8.682906416666672,2.8566666666666656,95.95500000000001,68.16666666666666,4.800000000000001,28.666666666666668,3.1291,0.5680666666666667,55,2,10,0,1,14,11,12,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
wonder much cost actually get talked woman uninsured get,8.189999999999998,12.270925777777776,7.58666666666667,56.70000000000002,69.0,12.488888888888889,31.22222222222222,11.20814326018867,5.995355555555555,48,2,5,2,1,15,8,9,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
church true solution thingi,8.829999999999998,12.081482000000001,0.7199999999999989,97.025,104.0,1.6,29.0,3.1291,0.5838000000000001,24,1,3,0,1,5,4,4,0.0,0.282,0.718,0.6249,0,0,0,0,0,0,0.0
really dont know need hear joe biden support,2.4333333333333336,5.084441222222225,1.0311111111111124,103.70000000000002,81.22222222222223,3.6,20.11111111111111,3.1291,-0.8357555555555556,37,1,8,0,1,10,9,9,0.0,0.722,0.278,0.4019,0,0,0,0,0,0,0.0
go back breathtaking cynicism joe biden say italy single payer help si,7.727499999999999,10.642856750000004,4.823333333333334,81.855,64.83333333333334,8.133333333333335,28.666666666666668,8.841846274778883,2.453066666666667,59,2,9,1,1,16,12,12,0.155,0.517,0.328,0.4588,0,0,0,0,0,0,0.0
baby prepare,5.475000000000001,1.7447365000000055,2.890000000000004,77.90500000000002,184.0,0.8,52.0,3.1291,4.3094,11,1,1,0,1,3,2,2,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
celebrity make sing videos top k case worldwide,6.120000000000001,9.900041000000005,0.8049999999999997,103.54,76.5,3.2,33.0,3.1291,0.8438499999999998,40,2,7,0,1,9,8,8,0.0,0.769,0.231,0.2023,0,0,0,0,0,0,0.0
mean wont speak see entirety day incubation period happy dummy,6.763636363636362,9.839634454545457,5.863636363636363,72.61545454545457,68.0909090909091,8.036363636363637,29.181818181818183,8.841846274778883,2.7032909090909087,53,2,8,1,1,16,11,11,0.0,0.709,0.291,0.5719,0,0,0,0,0,0,0.0
org eventgathering come amp unsure proceed safe responsible amp careful way check ou,11.156153846153849,14.488579999999999,8.541538461538462,56.97846153846157,56.69230769230769,11.353846153846156,43.769230769230774,11.20814326018867,6.253984615384617,72,4,8,2,1,21,12,13,0.112,0.506,0.382,0.5859,0,0,0,0,0,0,0.0
si leave may right,-1.7674999999999983,-1.1481827499999984,-2.2299999999999986,118.17500000000001,126.5,1.6,4.0,3.1291,-3.4762,15,0,4,0,1,4,4,4,0.286,0.714,0.0,-0.0516,0,0,0,0,0,0,0.0
01 purel cant fight,-3.8580000000000005,-2.902736799999998,-1.8399999999999999,117.16000000000003,117.0,2.0,5.0,3.1291,-3.309,16,0,5,0,1,5,5,5,0.0,0.579,0.421,0.2924,0,0,0,0,1,0,0.0
holy shit hate every person video,3.5500000000000007,6.707287333333337,0.5166666666666693,102.04500000000002,92.33333333333334,2.4000000000000004,6.0,3.1291,-2.5968,28,0,5,0,1,7,6,6,0.646,0.354,0.0,-0.8074,0,0,0,0,0,0,0.0
celebrity love season naomi campbell,11.213999999999999,15.912786400000002,5.240000000000002,66.40000000000003,85.0,2.0,45.0,3.1291,3.841000000000001,32,2,2,0,1,8,5,5,0.0,0.488,0.512,0.6369,0,0,0,0,0,0,0.0
high time public understand visit sick hospital cause harm hospital start visitor policy feasible,13.829999999999998,17.364924857142853,10.941428571428574,41.553571428571416,50.42857142857143,17.02857142857143,49.714285714285715,14.554592549557764,9.991514285714286,84,5,7,4,1,25,13,14,0.362,0.638,0.0,-0.7783,0,0,0,0,0,0,0.0
man save u,-7.369999999999999,-9.983627999999998,-2.6199999999999974,119.19000000000003,162.33333333333331,1.2000000000000002,3.0,3.1291,-3.6434,8,0,3,0,1,3,3,3,0.0,0.238,0.762,0.4939,0,0,0,0,0,0,0.0
stay away people always good idea,3.5500000000000007,6.707287333333337,0.5166666666666693,102.04500000000002,92.33333333333334,2.4000000000000004,6.0,3.1291,-2.5968,28,0,5,0,1,7,6,6,0.0,0.633,0.367,0.4404,0,0,0,0,0,0,0.0
come quarantine lb heavy alcoholic somethings gotta give,8.713333333333331,12.924242555555555,6.2755555555555596,66.10000000000002,67.88888888888889,12.488888888888889,42.333333333333336,11.20814326018867,6.709800000000001,49,3,7,2,1,14,9,9,0.0,1.0,0.0,0.0,0,1,2,0,0,0,0.0
ask bae affect economyany precautionary measure curb outbreak questionssome know youre date rubbish person,15.271999999999998,18.68178686666667,11.500000000000004,39.33000000000001,47.0,14.0,55.0,13.023866798666859,9.165000000000001,93,6,7,3,1,27,15,15,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0.0
dangerous take toll life period month kille,6.965714285714288,11.051654142857146,3.997142857142858,78.87285714285716,79.0,8.514285714285714,21.285714285714285,8.841846274778883,2.5768285714285724,37,1,5,1,1,10,7,7,0.341,0.659,0.0,-0.4767,0,0,0,0,0,0,0.0
must come,-1.5899999999999999,-7.075039999999998,-3.01,120.20500000000001,199.0,0.8,2.0,3.1291,-3.8106,8,0,2,0,1,2,2,2,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
forget panda beast fight,5.297499999999999,7.6715937499999995,0.7199999999999989,97.025,111.5,1.6,4.0,3.1291,-2.6587,21,0,3,0,1,5,4,4,0.692,0.308,0.0,-0.5423,0,0,0,0,1,0,0.0
make juuls look good right,1.7940000000000005,4.1530844000000045,-1.8399999999999999,117.16000000000003,105.0,2.0,5.0,3.1291,-3.309,22,0,5,0,1,5,5,5,0.0,0.58,0.42,0.4404,0,0,0,0,0,0,0.0
cant serious fact checker,1.7940000000000005,4.1530844000000045,5.240000000000002,66.40000000000003,105.0,10.0,45.0,8.841846274778883,7.057000000000002,22,2,3,1,1,8,5,5,0.0,0.711,0.289,0.0572,0,0,0,0,0,0,0.0
avoid cardi b edition,1.7650000000000006,3.261705500000005,0.7199999999999989,97.025,119.0,1.6,29.0,3.1291,0.5838000000000001,18,1,3,0,1,5,4,4,0.524,0.476,0.0,-0.296,0,1,0,0,0,0,0.0
hmmi think need big pan meal prep day,0.2325000000000017,2.5502272500000025,-0.6699999999999982,114.11500000000001,89.0,3.2,8.0,3.1291,-2.8074000000000003,30,0,8,0,1,8,8,8,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
si leave may right,-1.7674999999999983,-1.1481827499999984,-2.2299999999999986,118.17500000000001,126.5,1.6,4.0,3.1291,-3.4762,15,0,4,0,1,4,4,4,0.286,0.714,0.0,-0.0516,0,0,0,0,0,0,0.0
since last night new case new yorkthat bad,3.1762499999999996,6.225134125000004,0.8049999999999997,103.54,82.75,3.2,20.5,3.1291,-0.7774000000000001,35,1,7,0,1,9,7,8,0.333,0.667,0.0,-0.5423,0,0,0,0,0,0,0.0
know clap,-1.5899999999999999,-7.075039999999998,-3.01,120.20500000000001,199.0,0.8,2.0,3.1291,-3.8106,8,0,2,0,1,2,2,2,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
ok let take second invent subsequently kill ready caroling,9.236666666666668,13.57755933333333,4.964444444444446,75.50000000000003,66.77777777777777,8.044444444444444,31.22222222222222,8.841846274778883,3.4820222222222217,50,2,6,1,1,13,9,9,0.305,0.39,0.305,-0.25,0,0,0,0,0,0,0.0
kremlin rightwing populist spread misinformation,22.518,30.02442880000001,14.680000000000003,-1.2799999999999727,61.0,18.0,85.0,11.20814326018867,16.769000000000002,44,4,2,2,1,12,5,5,0.365,0.635,0.0,-0.3182,0,0,0,0,0,0,0.0
lose job due outbreaklooking work agriculture sector ideally farm hand similar dm fo,11.156153846153849,14.488579999999999,9.44923076923077,50.470769230769264,56.69230769230769,14.430769230769233,43.769230769230774,13.023866798666859,7.490907692307694,72,4,9,3,1,22,13,13,0.144,0.535,0.321,0.5106,1,0,0,0,0,0,0.0
chance get like high,0.5874999999999986,1.7917427500000045,-2.2299999999999986,118.17500000000001,121.5,1.6,4.0,3.1291,-3.4762,17,0,4,0,1,4,4,4,0.0,0.308,0.692,0.5423,0,0,0,0,0,0,0.0
cannot emerge crisis must build good world,3.7650000000000006,6.960115500000004,-0.6699999999999982,114.11500000000001,81.5,3.2,8.0,3.1291,-2.8074000000000003,36,0,8,0,1,8,8,8,0.0,0.447,0.553,0.7347,0,0,0,0,0,0,0.0
step medical cannabis patient consumer use stay safer get peace mind,8.904545454545456,12.512294000000004,5.863636363636363,72.61545454545457,63.54545454545455,8.036363636363637,47.36363636363637,8.841846274778883,5.358745454545456,58,4,7,1,1,16,11,11,0.0,0.588,0.412,0.743,0,0,0,0,0,0,0.0
lose job due outbreaklooking work agriculture sector ideally farm hand similar dm fo,11.156153846153849,14.488579999999999,9.44923076923077,50.470769230769264,56.69230769230769,14.430769230769233,43.769230769230774,13.023866798666859,7.490907692307694,72,4,9,3,1,22,13,13,0.144,0.535,0.321,0.5106,1,0,0,0,0,0,0.0
nigerian doctor say chloroquine use treat say he talk rubbish tal,7.620000000000001,10.908698272727278,4.790909090909089,80.30636363636366,66.27272727272728,8.036363636363637,38.27272727272727,8.841846274778883,3.882381818181818,55,3,8,1,1,15,10,11,0.0,0.787,0.213,0.4019,0,0,0,0,0,0,0.0
please help get article people inform money kushner family stand make,9.332727272727272,13.046825909090916,4.790909090909089,80.30636363636366,62.63636363636364,4.4,29.181818181818183,3.1291,1.2414727272727277,59,2,7,0,1,15,11,11,0.0,0.643,0.357,0.6124,0,0,0,0,0,0,0.0
wait real thing think meme,1.7940000000000005,4.1530844000000045,-1.8399999999999999,117.16000000000003,105.0,2.0,5.0,3.1291,-3.309,22,0,5,0,1,5,5,5,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
celebration time bad could avoid sir set example b,5.050000000000001,8.351025111111113,4.964444444444446,75.50000000000003,75.66666666666667,8.044444444444444,31.22222222222222,8.841846274778883,3.1186888888888893,42,2,7,1,1,13,9,9,0.487,0.513,0.0,-0.6908,0,1,0,0,0,0,0.0
lose job due outbreaklooking work agriculture sector ideally farm hand similar dm fo,11.156153846153849,14.488579999999999,9.44923076923077,50.470769230769264,56.69230769230769,14.430769230769233,43.769230769230774,13.023866798666859,7.490907692307694,72,4,9,3,1,22,13,13,0.144,0.535,0.321,0.5106,1,0,0,0,0,0,0.0
hit serious snob close,2.942499999999999,4.731668250000006,3.6700000000000017,75.87500000000001,116.5,11.600000000000001,29.0,8.841846274778883,5.4213000000000005,19,1,3,1,1,6,4,4,0.683,0.317,0.0,-0.5106,0,0,0,0,0,0,0.0
young actor something sayits time zyada savdhan ka punchnama,10.283333333333331,14.884192888888887,7.58666666666667,56.70000000000002,64.55555555555556,3.6,42.333333333333336,3.1291,3.8631333333333338,52,3,3,0,1,15,9,9,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0.0
uninsured covid19 patient get medical bill 3492743 story,11.418749999999996,16.514873375,8.180000000000003,50.66500000000002,65.25,13.200000000000001,70.5,11.20814326018867,11.771350000000002,49,5,4,2,1,14,8,8,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
send friend tweet week grandma die need really make laugh please send funny tweetsmemesvids way,11.503999999999998,13.97790606666667,3.6333333333333364,95.73000000000003,55.0,8.666666666666668,28.333333333333336,8.841846274778883,1.6003333333333338,81,2,14,1,1,17,14,15,0.147,0.378,0.474,0.8244,0,0,0,0,0,0,0.0
dawg yall funny man get yall creative,-0.706666666666667,1.1645405555555577,2.342222222222226,94.30000000000003,87.88888888888889,8.044444444444444,20.11111111111111,8.841846274778883,1.3142444444444439,31,1,8,1,1,11,7,9,0.0,0.463,0.537,0.7003,0,0,0,0,0,0,0.0
respect admire tweet immensely would also like suggest child,10.283333333333331,14.884192888888887,4.964444444444446,75.50000000000003,64.55555555555556,3.6,42.333333333333336,3.1291,3.136466666666667,52,3,5,0,1,13,9,9,0.0,0.408,0.592,0.8271,0,0,0,0,0,0,0.0
think positive rather say akrobeto help monday fumigation exercise,13.42333333333334,18.80409355555556,10.208888888888893,37.900000000000034,57.88888888888889,16.933333333333334,53.44444444444444,13.023866798666859,11.027577777777779,58,4,5,3,1,17,9,9,0.0,0.526,0.474,0.743,0,0,0,0,0,0,0.0
well id tell he racist fuck idiot thats youre probably aware dont hold back brother make joke chinese food amp day hes sport lovely shiny new arsehole,12.82125,6.059016125000003,10.533750000000001,76.53625000000002,59.625,12.8,44.5,3.1291,3.3375874999999997,124,4,27,0,1,37,30,32,0.271,0.526,0.203,-0.5719,0,0,0,0,0,0,0.0
international survey virusplease help u understand citizen preparecope w intl tea,14.470909090909096,19.461208818181824,13.372727272727275,18.77909090909094,51.72727272727273,15.30909090909091,56.45454545454545,13.023866798666859,10.947836363636364,71,5,4,3,1,23,11,11,0.0,0.748,0.252,0.4019,0,0,0,0,0,0,0.0
also scary figure kaiser family foundation estimate average cost covid19,13.243000000000002,18.283529300000005,11.91,27.485000000000014,56.0,16.0,50.0,13.023866798666859,10.809,63,4,3,3,1,20,10,10,0.262,0.738,0.0,-0.4939,0,0,0,0,0,0,0.0
black people watch united state spend trillion bailouts say,9.760000000000002,14.230876111111112,2.342222222222226,94.30000000000003,65.66666666666667,3.6,31.22222222222222,3.1291,0.9686888888888898,51,2,7,0,1,11,9,9,0.0,0.741,0.259,0.4215,0,0,0,0,0,0,0.0
