,tweet
217,No surprised so many with  &  struggle so much when the only help you get is take drugs and if they don't work take more
218,: don't let other's emotions corrupt your mind; beacause that paves the path to
219,ok but real talk for a moment .... the thing with having depression from for so long from such a young age is that it's-
220,"To ppl tweeting ""The leading cause of depression is reality.""  How pithy. What know you of ? Show some empathy. Just stop it."
221,I want to leave Depression in 2015! I'm bored of it now. I'm dragging my black dog out for another run
222,"another wee message - for those of us that feel a relapse over the holidays, you're not alone. I'm right there with you  "
223,"If this is your response to someone saying they're dealing with , you're a terrible person.  "
224,Just realised I haven't cleaned my teeth in days
225,I have depression ? pff.....no.... . . . . . maybe...
226,And so we arrive at the eve of the worst month of the year.  .  Any tips on making January more bearable?
227," is serious, so let's treat it seriously. Don't just brush it off, tell someone, and if some one tells you, don't over react."
228,"Very apt as I'm currently sat in the pharmacy, waiting for my latest batch of drugs!    "
229,Happy new year - thank you for moving against  with us! 
230,"New Years Eve,The day I always dread.???? "
231,Sometimes it's songs in the dark in the smallest world possible that make all the difference.
232,You must get up from right where you are. Do that and your battles are 70% over. let's talk
233,can depression stop lack of promotion at work??
234,Depression reality: Trapped inside my skin and trying to tear myself out but no-one knows I'm trapped or sees my struggle.
235,Have you withdrawn from those in your camp or others around you? You could be in a depressed state of mind.
236,"Depression.....SUCKS!!! I would NEVER wish this on anyone, it just.....sucks. Tired of it controlling my life, I really am?????????? "
237,What I feel like when I realize that there's no more Walking Dead until February 14th    
238,why doesnt she like meeeeeeeeeee
239,"Here it is, 1:20am, and I'm wide awake. I thought  was supposed to know my ass out? Instead my mind is racing.  "
240,I hate when the person you have a crush on has a girlfriend/boyfriend
241,Loading my pipe and smoking this depression away
242,Just got some very unpleasant news about my uncle...I am so happy that Marijuana exists.
243,"Deeper and deeper, the river flows downstream degrading even the strongest minerals.    ??"
244,"""Depression, a strange yet comforting company.    "
245,Honestly I wouldn't I get why im the last choice for everything ??   
246,: 1 in 4  businesses are forced out of business because of the ongoing Economic
247,"Being so fucking composed all the time is getting tiring, I need to have a mental breakdown at some point   "
248,It's a  when your neighbor loses his job; it's a  when you lose yours.
249,That moment when your depression kicks in even more....
250,"Up at 4am, angsty about not able to exercise (injury), desperate to run away on adventure .. Fucking, fuck; Black Dog's hunting "
251,For all those out there suffering with  and or  this is for you 
252,Sometimes the most difficult thing for a person is facing themselves.
253,Rt if you're a depression or Ed acc.  Follow everyone who RT's this!  I will too! Ready? GO!
254,A whopping 9% of adults in America are depressed. Another 3.4% are deeply depressed. Let's Talk!
255,Ever feel like just not eating...or drinking anything?
256,"It's hard not to be part of the 22, remain strong and get HELP   "
257,"What's worse,  I don't want her knowing my whereabouts.   I'm tired of the , the  & not being able to live life."
258,You don't have to be sad because of depression! Get help. Get clear!
259,"I hate this feeling, but I brought it on myself   I hope that those I have hurt won't give up on me ??"
260,"And if the Black Dog comes for me again this new year, perhaps this time I will have a brighter lantern to face the night. "
261,I've never dream to love him
262,"RT WeedFeed ""Physicians have Recommended  for the Treatment of  Since 1621 -    pic.twitter.com/LboHmD9dj9"""
263,"""Worrying does not empty tomorrow of its troubles, it empties today of its strength.""    "
264,"""Anxiety is like a tornado, the most violent, horrific, and destructive atmospheric phenomenon""  "
265,I really wish I would have more time to draw blog  about . I'm sure they'd be helpful to many...
266,Holiday  and  is common. Design your own holiday celebration. 
267,Laughter is vital medicine if you suffer  or . Have a giggle on me :)  
268,is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more!  
269,talked about suicidal ideation with a friend last night.she confessed to having a plan of jumping off a bridge.I had no idea.
270,ur best is plenty good enough 4 anyone or anything that is meant 4U??Don't let ppl nor circumstances kill you??
271,RT talkspace  costs companies $52 billion/year in absenteeism & reduced productivity; results in 400 million lost work days/year
272,"On topic of famous people , apparently stuff needs to be put in place for mental illness. What about non famous people "
273,Tripped hard today! This is promising!   
274,if i'd known it was going to go from 78 & sunny yesterday to 61 & cloudy today i still wouldn't have done anything differently 
275,"After reading about  in academia, I feel like secretly hanging up some posters about the topic around my old university ..."
276,"You aren't worthless, you are priceless You are important to someone and they'd miss you if you were gone   "
277,"We are open all through this  for info, advice or even a chat: 0800 4 70 80 90    pic.twitter.com/0g6kGdIoPI"
278,"40billion:   a well written, thought-provoking & mind illuminating book to unite, connect & save humanity â¦"
279,Happy New Year from !  We hope it is a year filled with joy and that we can work together to tackle  in Australia  pic.twitter.com/zMsgPqkfbi
280,"""Beautiful, delightful, noble, memorable, as is the world, I yet am well content in my shady crevice"" Christina Rossetti  "
281,Loneliness causes so much pain. Besides it teaches u how to overcome all the pains.   pic.twitter.com/gZA1jsFI54
282,Don't let panic and  cause you to say YES to someone when everything within you is saying NO!
283,"Christmas means ""Love Actually"" for me.    ??¥?????­"
284,Not a new thing Am use to it  â feeling lonely
285,"What is the base of the power? When it can be definite ""power""?The loneliness or the company create it?   "
286,"People experience ,  in old age, for living alone or due to lack of close family ties and connections.  pic.twitter.com/dlGIALueNn"
287,"Is it a crime to have few friends, to be sensitive to overwhelming problems and injustice in the world? Hope no.  "
288,God's  is the antidote to . He will never leave us. 
289,I feel like people only ever text me when I'm sleeping  
290,"So, apart from one 10 minute medical appointment, I haven't seen or spoken to another person since Sunday.   "
291,"After the decorations come down,  remains issue for  Regular  makes a huge difference pic.twitter.com/8DMFzQqK3m"
292,"I have , but feel . "
293," is REAL... and all I wanted was a ""Drake Hug"" ???©???©???©????????????  pic.twitter.com/aE4zsPAx0p"
294,To get close to another you have to take off your armor. It takes more  to be soft than tough.  reduces 
295,Find the lost and the lonely. They need you.    pic.twitter.com/BtM7BpcUGQ
296,Travelling state of mind.     pic.twitter.com/3xKR0fgmET
297,just tryna talk to somone and they got to be confused about it huhhhhhhhh life it boring as hell 
298,I wish I was successful with women ????   
299,and the feeling of being unwanted is the most terrible .   Mother Teresa
300,I just had another one of my breakdowns. I saw it coming. I've been feeling it for days. Back in isolation I go!  
301,I guess I'm just not the kind of person you wanna hang out with...  
302,"I feel like I'm well-liked as well. I mean, I seriously doubt anyone would describe me as anything but kind.  "
303,Loneliness is what that happens in silence When darkness creeps towards the - Deep Corridors of mind Without disturbing anyone 
304,Publicity before Christmas about loneliness. How many loneliness projects were open on Christmas day I wonder?  
305,What do you think?  or ? Something else? pic.twitter.com/FNM1aQ1Rqi
306,Did anyone call and chat with someone who was alone over Christmas?  
307,Loneliness isn't about being alone it's not being anybody's priority  is a problem that faces us all reach out and make contact????£
308,Social connections are important throughout our lives!     pic.twitter.com/TpvuN7eGQv
309,Heard a person detailing his branded cloths arrogantly today. It sounded more like him wearing  instead of cloths. 
310,"nobody could ever know the hidden pain or the hidden  or the hidden ,,,,, but .."
311," or being in heat is not sufficient reason to jump into . That's how people get hurt, cycle of pain happens. "
312,Walked outside and saw this nigga catchin the fade   pic.twitter.com/DiqoKV0Eix
313,LEARNING TO LOVE YOURSELF IS THE HARDEST TASK YOU HAVE TO ACCOMPLISH IN LIFE FOR A LOT OF PEOPLE.  
314,"for 3 days, I will improve the landscape of the my game() and make the pause menu with the ability to save and load"
315,Don't glorify . Don't rationalize .  pic.twitter.com/9kcwhSIjeR
316,is never more cruel than when it is felt in close propinquity with someone who has ceased to communicate. âGermaine Greer
317,"Pop in to see an elderly relative, friend or neighbour this  and help combat   pic.twitter.com/3Zy8CXTriS"
318,"So hard to fight the , especially during a chilly night with crickets singing!"
319,Good nite.                                         
320,"Internet on point,Channel O on point "
321,Biggest challenge at this time of year (& many other times) is to not make older people feel old! 
322,"After the first quarter, sales of my game () plan to get 100.000 rubles, including the Russian market and the European  pic.twitter.com/xpQfiqByav"
323," is dangerous. it's addicting. once you see how peaceful it is, you don't wanna deal with people. -Hedonist Poet"
324,can feel ever so painful. And stigma prevents honesty about problems. Let's keep the difficult conversations going x  pic.twitter.com/DwXfpvI3iX
325,Sister and her boyfriend in one bed and here I am by myself in the other ???? 
326,Phone ring at anytime now . ??¤¦??½ââï¸ 
327,Holiday  and  is common. Design your own holiday celebration. pic.twitter.com/F8MfTFqqIQ
328,Don't you want to be my girl ?   
329,I need an IBF and takers...  
330,Volunteering today with my cousin at a community centre putting on a spread for those alone at  Say no to  at  pic.twitter.com/MJEHIwdpD5
331,"Christmas, the most wonderful time of the year can also be the most horrific time of the year.   "
332,If you are struggling with   this festive season. We are open 24/7 to offer . Call 0800 132 737. pw
333,Loneliness does not just happen on this one day but all year round   
334,"Its a comforting experience to pull off a major freeway and there not be one person as far as the eye can see.  ,  "
335,To be alone is lonely or freedom...   pic.twitter.com/eqnKrbjoXr
336,"I'd like wish everyone a Happy Holidays, but I'm alone with no significant other. Fuck me. "
337,I miss those days whn i used to forget bout my worries by jst talking 2 u..i miss u badly mere jigrii..???  
338,"Not keen on Xmas? Neither am I. Chin up, chest out n remember , beyond the hype , it's just another day. . . "
339,"Visited an elderly gentleman in hosptal earlier, admitted a week ago & had no visitors as all family & friends have passed away "
340," is the thing which i hate the most and love to live with, for the simple reason that it keeps my mind working and keeps me awake"
341,fuck fuck fuck Christmas ï¼ï¼ Why Japanese couples want to see illumination???? Looking for a girlfriend 
342,"As we think abt  across t generations at this time, a turkey sandwich & mince pie, in t company of strangers is seldom effective"
343,Christmas without you     pic.twitter.com/IKzGhX6ZI8
344,There is a  in this world that you can see it in the movement of the hands of a clock Bukowski  pic.twitter.com/SMPkHU3twN
345,The best photo that describes me ??   ??  pic.twitter.com/HZngzZlxu6
346,"Out of the many terrible things that come with divorce, folding king size sheets alone is close to the top. "
347,is more harmful than you may think!  pic.twitter.com/T4n5L9kdYz
348,"We are all so much together, but we are all dying of loneliness. âAlbert Schweitzer   ??¤???"
349,"Holidays can be tough. I've been there. If you're struggling this holiday and want to talk, I'm here.      "
350,is more harmful than you may think!  pic.twitter.com/LBHOUTajtK
351," is dangerous. Itâs addicting. Once you see how peaceful it is, you donât wanna deal with  "
352,Trying to be friends with WWE superstars 
353,Honesty & Bravery are wonderful traits. Traits of a great human.  Great humans triumph.   
354,It seems that a lonely future is waiting for me! Giver said he had a wife but it's forbidden to talk about our job.    pic.twitter.com/RcJGUdSs9K
355,and  partners in crime. One could lead to the other.Both effective in destroying lives and the spirit of young and old!
356," truly devastating disease of the modern age. At festive times like  worth making an effort to talk to, visit the lonely."
357,I feel like I'm the only guy in Chan that doesn't like Hamilton 
358,"To come out of , you make friends but coming together in knowledge is rare. Be a friend in knowledge and uplift each other."
359,Our last group of 2016 was our new  project (even more relevant at this time of year) & they laid on some welcoming festive food  pic.twitter.com/AOwwxTDona
360," creeps inside when not the entire world becomes silent, but the one you care most. "
361,Being  doesn't mean you're Lonely!  is feeling alone in a  with someone who can't or won't connect!
362,IN The heart of every Human being there's is a sense of  which cannot be put out expect by being close to Allah
363,"""We live as we dream - alone"" (Joseph Conrad)  "
364,is a choice  is a mild side effects u get used to it :)  pic.twitter.com/PJxqvRw1TF
365,Social connections are important throughout our lives!     pic.twitter.com/cTBXNnn3IL
366,Missing you this Christmas    pic.twitter.com/QfzTBKqHpz
367,I'm not gonna be his center of attention. His cousin will be. I want ur attention to. Ur cousin is staying till new years 
368,When you've single for so long and start to wonder do you even still know how to hug 
369,If you don't open up your heart and life to someone;  is guaranteed to eat you alive!!!!
370,Being lost in my own mind   
371,My new friend from the Memory Cafe supporting & raising money to help those with    pic.twitter.com/YuN4foPKLY
372,"He may not act like it, but it is true   pic.twitter.com/rlGHhOjKv3"
373," by : Bleak melodies & beats, beautiful voice and gloomy verses about today's world. Brilliant! One of the best in 2016."
374,Dems after Kerry's speech???±???µ???·  pic.twitter.com/FpduyGjA7M
375,We had  in a sea of 
376,My album of the year was   - few artists have managed to convey the modern world's horrors so beautifully. Bold move.
377,@ANOHNItweets  some albums simply stand out 
378,Stuck in traffic prime minister narendra modi visit in pune  
379,Top Musique 2016 :  N2 :    pic.twitter.com/wRsdJ4Av6z
380,for me is the past 8 years of lies and deception!  pic.twitter.com/NDLoUwMrFi
381,8 years of having to endure Obama!
382,Michelle Obama's Feelings of  are a Bellweather for the country: It Tells us We are Moving in the Right Direction!  
383,Its hard to fix my life when I'm surrounded by negativity 24/7.... 
384,"The  lost the , seats in both House and Senate, in votes by the people. Clearly rejecting this notion of ."
385,"Since RED China entered the WTO, 70,000 U.S. factories have closed. - D. Trump  "
386,Michelle O was clearly referring to life where she pays for her own vacations and doesn't have servants at her beck and call 
387,"Being a Debbie Downer is a neglected mental disability. The buzz word  is code for lacks resilience, has no faith, fearful."
388,"Life is a privilege. Don't waste it on the b.s. emotion of . Celebrate life's silver linings, be parent and inspired."
389,If my own mother had used the profane term  or  in our home we would have sued her then removed her from our home.
390,exists in places places of lawlessness or dysfunctional governing management
391,Hopeless Zone Where Privileged Americans Level 04 Are Not Progressing ...   pic.twitter.com/tPhsJPCDdf
392,We can never allow degradation of self so low by external events that we as human beings ever give up or give in to feeling .â¦
393,", that was the eighties ,,wot we hav now is ."
394,2008 - 2016 has been most uninspiring time in USA history.   run amok. Call it .
395,End of the Obama Administration.   pic.twitter.com/RZGeOg6xH0
396,Reject . Turn off your tv's or media emitting PsyOps sentiment analysis algorithms of hopelessness. Choose ! ???????¼??¯??¼??¼â¦
397,Sentiment analysis algorithms from Democrats and Mrs. Obama are designed to engineer . Reject it in its entirety.
398,No Michelle Obama USA is NOT entering a time of . Actually now that barrack is leaving we have GREAT  for our future! 
399,"The Audacity of  Whom are the ""We""  represents? Oh I get it... It's the pecker in the girls potty people??"
400,'s  is our . What's yours?
401,The reason for things fall apart &  is . The world & including the church have to make Jesus the centre.  pic.twitter.com/CGRJhSkkL5
402,Maybe this IT chaebol is future Wang So. 
403,"America, I love you, but you're bringing me down...   "
404,"A day saturated with  and . Brutal. Oh, the human mind. What an enemy."
405,I can be drowning in homeworks and assignments and I'll still say yes when my friends call me out ?????????   
406,"Same old story, same old song and dance. "
407,"If optimism is the ?? to success and if you can achieve a + outlook through positive thinking, there is no excuse for failure. "
408,Being deprived of Godâs joy will lead you to addictive carnal pleasure... Looking for Love in all the wrong places...! 
409,"Riding the metro into , the feeling of  is palpable this morning."
410,is something I believe hurts more than anything other inner state. Your thoughts?  pic.twitter.com/blA0kFZjnZ
411,I wore all black today as metaphor for my state of mind and also for the state of America on this day.   
412,So now our Parliament is going to limit the Supreme Court of its powers to save  & Co from  case. 
