hashtags,place,text,user_description,user_location
,,"RT @BusisaMoyo: Meeting of owners of businesses, executives, academia and community leaders at ZITF. A wide range of issues will be discuss…","Loves addressing food security challenges, seed production & nutrition sensitive agriculture. I love politics. Been there at University level up to Deanship",Midlands State University
,,RT @honestari: We’re in the middle of a pandemic and God is still working for me🥺,20 | 🇰🇷🇲🇽,
,,RT @thewire_in: A 14-year-old girl who was undergoing treatment at the Sardar Patel COVID Care Centre in south Delhi’s Chhatarpur was sexua…,Freelance journalist | Columnist | Social Activist | Analyst | Special Correspondent At Lazawal Daily, ارض خدا
COVID,,"Daily Checklist During #COVID Be Like...

Keys ✔️
Phone✔️
Wallet ✔️
🏃Shoot My Mask!

LOL You all be safe and don't to forget to wear a mask as you enjoy your weekend. https://t.co/2nfcxBI5qq",KLJ Way supports people of color in STEM in order to increase racial and ethnic diversity in STEM education.,"Boston, MA"
,,Kwara cancels 2020 Eid prayers over COVID-19 https://t.co/gZFvZL95u7,"Official Twitter page of The Nation Newspapers, Nigeria's widest circulating newspaper. Need to reach us? info@thenationonlineng.net - IG/FB: thenationnewspaper","Lagos, Nigeria"
,,"RT @funder: BREAKING: Trump’s going to his NJ golf club today, at the height of the pandemic. With no plan to reopen schools or businesses.…",@DevildogBarnes’ Wife🌼Christian🌼Mother🌼Sagittarius🌼Minimalist🌼FreeSpirit🌼Conservative🌼Pearls🌼Holly Hobbie🌼Connecticut🌼Paris🌼UK🌼Miami🌼Hawaii🌼Vegas,"OH USA, Wish: World Traveler"
,,RT @JeffPassan: This is Johan Maya. He was a scout with the Diamondbacks. He had three kids and his wife is pregnant. He died Thursday of C…,,
PlasmaTherapy,,"RT @achyuta_samanta: Another significant step towards our fight against COVID19- 

#PlasmaTherapy is now being expanded to
➡️IGH, Rourkela…",Doing Job,Bhubaneswar
,,"In Cell Studies, Seaweed Extract Outperforms Remdesivir in Blocking COVID-19 Virus https://t.co/KwFS5kYDXE","It is our goal, through the use of Powerful Ocean Nutrition™ to help you achieve all of your health and wellness goals.",
,,"RT @kentprotect: Face coverings must be worn in additional enclosed public spaces from 24 July in England, as the government takes further…",she/her,"Canterbury, England"
,,"RT @PamKeithFL: If you’re wondering why Donald is trying to start a civil war and justify taking control of Dem cities, it’s to undermine t…",,
,,The only plan I had for after covid got cancelled and im not happy.,,Abu Dhabi
,,"RT @CAGoldenBear: @joncoopertweets Are we supposed to care about Scott Baio? I’ll send him thoughts and prayers. 
It’s time for everybody t…",Free Palestine-Free First Nations Land & Territory NO MEANS NO CONSENT- Canada & Prov Govs Modern Day Colonialism /Occupation  #Wetsuweten #SixNations #LandBack,Politicians End SystemicRacism
,,RT @nj_hill: This is peak level stupid...,I changed the lock on my front door.,
,,COVID Crisis : Recovered Covid-19 patients in India are returning to hospitals with heart problems or lung damage https://t.co/Llts42FE3k,,Imphal
,,"RT @funder: BREAKING: Trump’s going to his NJ golf club today, at the height of the pandemic. With no plan to reopen schools or businesses.…",,"New York, USA"
UGC,,"RT @advocate_alakh: Highest single-day spike of 49310 Corona Cases Today!

Situation worsening every passing day

-Why #UGC so adamant to c…",🔇😶,Lucknow Uttarpradesh
,,RT @_YohnLegend: This must be COVID-19 https://t.co/Vm04gFujbu,Mommy to a Princess.👑,DONTWORRYBOUTITSWEETHEART.
,,"RT @funder: BREAKING: Trump’s going to his NJ golf club today, at the height of the pandemic. With no plan to reopen schools or businesses.…",,"Belvidere, IL"
,,"RT @barbzstruggle: Nicki Minaj and a gay fan have recently been spotted at a soccer game, despite the social distancing restrictions in pla…",Chelsea spice 💜 Very unavailable Mrs Fahrenheit,"Abuja, Nigeria"
USA Cardiologist HCQ Hydroxychloroquineworks,,"RT @Sierra_AMV: @drpichel #USA🇺🇸 Renowned  #Cardiologist Dr.Rami  Oskoui  
“The sooner the better” #HCQ protocol. ##Hydroxychloroquineworks…",President Trump! We NEED 4 more years! #NavyBrat #NavyKids #NavyUncle #ArmyUncles Married XVIIIth AIRBORNE PsyWar-jumped w/ Golden Knights. Blessed: #TEXAN ✝️,Arizona 
,,"RT @yokendan: Florida Republican Senator Rick Scott yesterday: “Every day they wait is a good day for the country.”

https://t.co/fqvYjJWe25",Nevada Deputy Press Secretary @JoeBiden & @KamalaHarris | Proud alum: @SenSchumer & @SenateDems | Views are my own and sometimes en español | 🇨🇴🇺🇸,"Washington, DC"
OneV1 DemCast,,"RT @SCssgirl: I say Katie Porter for Secretary of Treasure!  But gosh I love her fighting for us in Congress too!!

#OneV1 #DemCast #BeTheC…","avid reader, esp mystery, sci fi/fantasy;Anglophile; IU Alum #Browncoat #Fillionaire Warning! I have #ONFD 
#RESIST #GoJoe #VoteBlueDownBallot #BeTheChange4USA",Southern Indiana
OSHA,,"Nursing home worker deaths going unscrutinized by federal government - CNN
""... his death went unnoticed by the federal agency responsible for protecting workers during pandemic: Occupational Safety and Health Administration (OSHA).  Where was #OSHA?   https://t.co/cMkITzoc29","Avid reader, retired librarian, mom, wife, novice beekeeper, breast cancer survivor who loves watching football - the real kind you play with your feet. ⚽",
,,"RT @ProjectLincoln: Donald Trump's 2020 Platform:

🤡He can drink water with one hand.
🤡He can recite 5 words in a row.
🤡He can walk down a…","Author of Wealth Woman, Cold Spell, and 15 other books. Wild for oceans, hikes, dogs, gardens. Alaska transplant to Oregon coast. Current obsession: seals.","Oregon, USA"
,,"RT @DavidCornDC: If you missed this yesterday, take a look. And imagine lying about the death of your grandmother for political purposes.",,
,,"RT @SenKamalaHarris: People are demanding bold action from Congress to help get through this pandemic. I’m pushing for: 
-$2,000 monthly pa…",#BidenHarris #TheyAllKnew #TrumpCrimeSyndicate #Mogilevich #PokeTheBear,Florida
,,Dr. Birx says US facing 'essentially three New Yorks' with coronavirus cases rising - Fox News https://t.co/LqsaS3dRqV,@swydersk @Spencerjames211 @666_alhlwan @HORGLAERT @WALLI27 #BossLady @khalidaajzi @lumpie125 @mvf7186 #1DDrive #TmDoll #PRINCESSE #TmStallion 🦁 @ArtsPetal,USA MAGA  🚫 DM
,,"RT @GovEvers: Yesterday we saw a concerning record high of new positive cases with more than 1,100 confirmed cases in a day. We need to get…",Happily in love 1/7/2017♡      Future Mrs. Davis 6/5/2021 💍,"Wisconsin, USA"
,,"@JacquelBenson @SusanChubb1 @jameskibwe @Haggis_UK You aren't aware that the UK government is incompetent, as has been shown throughout the pandemic crisis? They're *now* trying to catch up with more sensible European countries, such as Germany. Wear a mask. It's not difficult.",#ProEU,
,,"Young, healthy adults with mild COVID-19 take weeks to recover: study https://t.co/RAegqlbUNW",Zyite is global retailer.,www.zyite.com
,,RT @MattWalshBlog: Seems like a good time to remind you that they arrested a dad for violating social distancing by playing t-ball in an em…,,
,,@numbers_truth @poppi78978 @FatEmperor Drs all over were being forced to right down covid when it wasnt even the cause.,,
,,"RT @BeachPretzel2: This is so tragic; it's all on Trump, each and every death is due to his failure to act and to stop the coronavirus - it…","I read EVERYTHING.

GA-1 @ossoff
GA-2 @ReverendWarnock

Georgia - Register absentee ballot!

https://t.co/KiYoxwcjMi

I swear a lot.
Masshole.",Boston-ish
,,"RT @larakealii: A coworker just got his test back, and he is positive. They are only shutting the store down for ONE day, tomorrow, opening…",call me daddy,"California, USA"
,,"RT @AudreyAurus1: ""Thank you for all! Go now!"" Absolutely awful.
Frontline care worker told he will be deported by the end of the month htt…",Give Peace a chance !,Lancashire
,,RT @danielsgoldman: It’s one thing for a wannabe fascist to cheat to win an election and become President. But it’s altogether another thin…,,"Virginia, USA"
,,"Another idea that the study shoots down is that of “herd immunity.” This concept relies on having a large enough portion of the general populace be immune to SARS-CoV-2, that it’s unable to spread to those who don’t have immunity.

Based on the study, however, these ideas 15","A revolution is a fundamental and relatively sudden change in political power & political 

houmanmanav83@gmail.com
https://t.co/FERb7P8Skf",Mumbai India
,"North Weeki Wachee, FL","It’s a shame, because he’s the only person telling the absolute truth about the pandemic. https://t.co/Ui8WX5IpMO","American patriot, fiercely loyal to our country, its constitution, institutions and freedoms","Weeki Wachee, FL"
,,"RT @briantylercohen: And there it is. Barron Trump's school will not re-open in the fall, meaning that while Trump is demanding everyone el…","I’m nasty AND loud, enjoy science & logic, and suffer no fools. voteblue2020",
,,"Vermont, you're not just a National Leader in pandemic response; You're now a world leader.  Watch the data.  Let science drive policy.  Keep wearing that mask.  

Stay VigilanT. https://t.co/qxvRfQ8J7i",ARNG AMEDD Commander and Staff Officer at the same time..thanks COMPO 2. Less iron major and more 2nd CPT. Amateur leader at best. Cheers,United States
,,It’s has the most people?? https://t.co/Cpne6K7j4u,🏡,"Seattle, WA"
covid,,RT @sumanthraman: Tamil Nadu reports 6785 cases of #covid today. Total number of cases rises to 199749. Chennai 1299. Deaths 88. Discharge…,,
,,RT @Athxb3: If corona cases increase I’m blaming y’all Dubai chmak bitches,,
,,"RT @KamalaHarris: Yesterday the U.S. surpassed 4M coronavirus cases.

There's still no adequate national testing strategy.
There's still no…",Retired teacher and news junkie.   Proud Liberal.,
,,Thank You so much for fighting for Students 🙏🙏 https://t.co/NSffr9jaHA,"Member, AAP National Communication Team || AAP Social Media Strategist || Always Ready For Action || Future Lawyer |
Founder @legalshots @ConnectSYC @PeoplesSYC",Allahabad/New Delhi/Mumbai
,,RT @liberal_slayerr: Thackeray's govt. failed to pay Doctors their salary who came from Kerala on the request of Maharashtra government. Bu…,"Engineer🛠 but interested in Photography 📷, Poetry📃🖋️,Music & Musical instruments🎹 ,Horology⌚ & Numismatics💴 and Bike Riding 🏍.",India
,,The Republican Party vs Coronavirus https://t.co/aZmIVHbQDc,"$VIX trading analytics provider. Politics, policy, volatility, cloud tech & Gen3 PoS crypto. Microsoft mentat. Stanford/Goldman. Subscribe: https://t.co/fJ5JHIWh6v","Fairfield, CT"
,,RT @_JayShells: COVID better be gone by December that’s all i know,Nigerian🇳🇬•Muslim☪️,"Houston, TX"
,,RT @sanjukta: Bit by bit democracy in India is dying. Now Governor says not COVID but session cannot be convened because matter is in Supre…,,
,,CV caused little! Its the violence &amp; lies that has harmed/killed so many! And this is being fomented by Both sides as usual..and people cannot see this is all a set up..all of it. Enjoy the movie..oh my. It was programmed a long time ago. https://t.co/2iFT0TwDa0,"Mother of 5, grandmother of 9. Home builder/interior designer, retired. Married to an annoying old man!! Wide awake for 16 years Believe in America and God!!",
,,RT @oliverterrones: (500) Days of Covid,The carrousel never stops turning.,
,,RT @TennesseeAubie: The fake fear of COVID-19 or the real human suffering caused by the overreaction to virus with a 99.9% survival rate.,"The light keeps shining in the dark, and darkness has never put it out.","Land of the Lost, Global"
,,"RT @vincevibarr: 3 new confirmed COVID-19 cases in Legazpi, all with NO TRAVEL HISTORY! Katakot 😩","True love kong parang justice sa Pilipinas, kelan kaya.",
,,RT @drdavidsamadi: Lockdown is NOT a cure for COVID-19!,Jesus is the only way to heaven!! Without him I am nothing!!,"San Antonio, TX"
,,RT @CraftyViews: YEAAAA MURPH FLEX ON EM’,~Boogie's Daughter ♡ ▼ | twentythree.. ♍️ |,
,,"RT @tribelaw: “By sending in anonymous federal agents to snatch protesters from the streets, Trump is stretching the powers of the Presiden…","I believe our democracy will survive. Wife, Mom and Army vet among other things.",United States
LagosSMEbootcamp,,"RT @AyoBankole: NIPOST has just declared war on SMEs in Nigeria, sadly on the eve of the #LagosSMEbootcamp. Logistics has become a flashpoi…","Intellectual Property and Technology lawyer,Arbitrator,WIPR Influential Women in IP Trailblazer,Co-Contributor to the 6th ICLG on Data Protection #Derbygrad2014",
,,"RT @ProjectLincoln: Donald Trump's 2020 Platform:

🤡He can drink water with one hand.
🤡He can recite 5 words in a row.
🤡He can walk down a…","An honest, crazy, idiot.","Florida, USA"
,,"RT @NHSSTAFFCOVID19: We should definitely be retweeting this video. THIS IS THE TRUTH. The NHS is in danger, @BorisJohnson doesn’t even wan…",,
,,RT @TristanTaylor88: It's almost like EVERYTHING IS RACIST,Twitter OG,
,,"RT @SenWarren: If meatpacking companies say they’re doing everything required to protect workers from COVID-19, but workers are still getti…",Life time Republican love Ronald Reagan and Both George H. W. Bush and George W. Bush. Currently wanting to see the Democrats take over the whole damn country.,"Crawfordsville, IN"
,,RT @DisfunkGlee: Ocean City’s spike in cases comes about two weeks after Independence Day celebrations drew plenty of people to the beach.…,,"England, United Kingdom"
JeremyCorbyn,,"RT @ChampagneDosser: Remember all those who were ""politically homeless"" 
when #JeremyCorbyn tried to take on
the corruption of the establis…","Janice longair..from ayr  live in Dreghorn grandsons.steven, logan,alfie & grandaughter olivia ...support worker",ayrshire
,,"RT @Debber66: Can I ask why in the world are we not using this drug to treat Covid patients in the United States? @drdavidsamadi 
https://t…",,
,,RT @Reuters: U.S. House Speaker Pelosi opposes temporary extension to enhanced jobless benefits https://t.co/3osPKM1IXr https://t.co/oLubpp…,"Retweet doesn't mean endorsement, like or dislike with post~",Islamabad
,,"CAMPAIGN EVENTS SHOW NO MASKS WORN: On Friday, both US Senate front-runners held campaign events in Tennessee with little-to-no mask wearers in sight.
https://t.co/fdIOxQ0FpT","Keeping you more aware, more prepared & better informed in the Chattanooga area & beyond. Thank you for joining the discussion. We follow back.","Chattanooga, TN"
,,The US now reports more than 4 million coronavirus cases. via @NYTimes https://t.co/O88yGDdXTi,,
,,"RT @ASlavitt: COVID Update July 23: If you don’t know many people who have Coronavirus, its because you don’t know the people who pick the…",Integrity•Compassion•Cats Karma•Listen to people with whom you disagree•Co-Founder/Director @ImagineHomeOrg 💕 #TheResistance #NeverAgain #VoteBlueNoMatterWho,Chicago➡️San Diego➡️Seattle
,,Students: A call to Southern University to lessen tuition amidst COVID-19 - Sign the Petition! https://t.co/xbs0IOm8eL via @Change,SouthernU  |   MajorLeague🎱,"Baton Rouge,LA"
,,"@MarcusBeam1 @therealarod1984 Interesting on 1968 pandemic from Wikipedia: ""In Berlin, the excessive number of deaths led to corpses being stored in subway tunnels, and in West Germany, garbage collectors had to bury the dead because of a lack of undertakers...",Russian bot. I have a pet alligator named Elvis. RT = endorsement.,
,,"RT @ProjectLincoln: Donald Trump's 2020 Platform:

🤡He can drink water with one hand.
🤡He can recite 5 words in a row.
🤡He can walk down a…","Former R, now proud D! I can't wait until our nat'l nightmare is over. #resistance #ImpeachBarr #VoteBlue",South Florida
,,"She is a complete idiot
Words fail me 
How dare she! 
Complete FW https://t.co/WxJBeBLtyC",,
,,"RT @MiaFarrow: My 2 year old granddaughter got covid. Not as severely ill as her mom who had to be hospitalized- but very high fevers, rash…","We all deserve better
resistor to all things Trump.
became active recently on Twitter 
to join oppositions to trump","New York, USA"
,,RT @anil_sai489: i think government  of karnataka is playing with the lives of our students by compelling them to write final year and KCET…,Doing what you like is Freedom liking what you do is Happiness . Jai Hind 🇮🇳 🇮🇳 💪💪,"Mysore, India"
,,"I’d decided to get sheets from Crate &amp; Barrel if Target didn’t have ivory sheets but they did so that saved me some coins. So few places had off-white, ivory, &amp; cream options at the beginning of the pandemic.","Using soap and water, take your fingers or a cleaning object of your choice and scrub in between your toes // 🇧🇸 // she,her",Central Florida
,,RT @shbeaty: You've got to be shitting me.  I can't believe how politicized the CDC has become under the current regime.  I used to really…,"Data Science Enthusiast 
#KeepLearning #ML #NLP #DL #DataScience #AI #MN",Mongolia
,,"RT @KenAbante: [THREAD: DO WE HAVE CASH TO FIGHT COVID-19?]

INSIGHT 1: YES, WE HAVE CASH TO FIGHT COVID-19.

As of end-June 2020, gov't ra…",elbi 🎓 2016 | open u 🤞🏻 2021 ❤️💚,"Calabarzon, Republic of the Philippines"
,,"RT @CDCChronic: This summer, move more and sit less by getting at least 150 minutes of aerobic physical activity every week. Learn about ph…",🇯🇵菅義偉内閣総理大臣🇯🇵衆議院議員安倍晋三🇯🇵岸信夫防衛大臣🇯🇵自衛隊、COVID-19関連、🇺🇸DonaldJ.Trump、🇮🇳🇬🇧🇦🇺🇹🇼,JAPAN
,,"RT @itsgauravmishra: tiktok got banned, you shared.
celebs got corona, you shared.
IPL got announced, you shared.
jada cheated on will, you…","Buddy, can you paradigm?","Pune, India"
,,"RT @CapehartJ: Ok, now, Madam Press Secretary, show the footage from of the armed men with assault rifles storming state capitals because t…","#BlackLivesMatter
reformed GOP member
#theresistance 🌊 VOTE BLUE no matter who!
Animal lover who punches Nazis. 
Now Proud member of the Deep State and Antifa","Washington, DC"
BenefitsConf,,Twitter is giving working parents access to a program to keep kids occupied during the pandemic. Read more: #BenefitsConf https://t.co/ihp4I7tCuZ,"Health & Benefits Leadership Conference, being held April 7-9, 2021 in Las Vegas, is brought to you by @HRExecMag. #BenefitsConf","Aria Resort, Las Vegas"
RT coronavirus,,"RT @revhumanrights: #RT @ifamericansknew: Despite US chaos, w/ #coronavirus, racial tension, deep divisions, highly contested elections – I…",DigilanteJane™ #FreePalestine #NoDAPL #AnonFamily #ICC4Israel #Humanity ~ I'm grateful NOT hateful ~ Born to advocate for those who have lost their way.,Earthling (For now!)
,,"@StephenKing It feels to me like the fear, anger, and violence we're experiencing is because we feel overwhelmed by the lack of lucid response to the coronavirus.",Born to be mild.,Augusta GA
,,"RT @kylegriffin1: The school attended by Trump's son, Barron, will not fully reopen in September out of concern over the coronavirus pandem…","Bernie Bro, CEO of A-N-T-I-F-A, lover and fighter, anti-racist, serial duck feeder","Everywhere, USA"
,,"RT @chxx514: my last concert was 190622 which means 
more than one year without concert,,,,,,,,,
this never happened since 2016,,,
corona p…","𝒾𝓂 𝒶 𝓆𝓊ℯℯ𝓃 , 𝓂ℴ𝓃𝒷ℯ𝒷ℯ , 𝔀𝓮𝓷𝓮𝓮, ℳℴ𝓃𝓈𝓉𝒶 𝒳 - 𝒪𝒯7 , 𝓌𝒽𝒶𝓉 ℯ𝓋ℯ𝓇 𝒽𝒶𝓅𝓅ℯ𝓃 𝒜𝓁𝓌𝒶𝓎𝓈 𝓌𝒾𝓉𝒽 𝒯𝒽ℯ𝓂♡",
,,"RT @ameruqueen: Corona is here to stay,find a hustle,grind hard and stay safe💙",Y O U M A T T E R,Kenya
,,"RT @CartoonBrewSpon: How To Keep Working In A Pandemic: The Royal College Of Art’s MA Animation Graduates Share Their Tips

Story: https://…","보루소/주금깨/꿈깨 아무렇게나 불러주세요
잡덕이고 주로파는건 만화/웹툰/풀메퓨입니다. 본진은 이영싫.. 과제에 묻힌 대학생(좀비)입니다
구독계+덕질계+그림계 
커미션계☞ @crush8money",
,,"RT @zionpearl: 3 days ago, a friend's coworker tested positive for COVID-19 after doing a test in his estate. I guess they're doing it door…",Man on the Move | GOAT of Kenya🐐🐐 | FrontStreet Boy | FPL League code: 29mofd👊🏾,NY [Near You] City
,,RT @BuckSexton: It’s not possible for Democrats to offer up this abject fool as the next president of the United States and expect the rest…,Believe in a free and non-socialist America,
loveiom businessowner peoplehaven retirementplanning postCovid19,,"In our latest blog post, John Condon writes about retirement planning post Covid-19. https://t.co/bSW5nBLxRQ 
#loveiom #businessowner #peoplehaven #retirementplanning #postCovid19 https://t.co/v9C1NBYky2",Isle of Man’s 1st Chartered Financial Planners. helping clients find the balance between today & tomorrow. Sponsors #podcast #islandinfluencers @sharonsutton99,Isle of Man
,,@StephenKing You have got to be kidding. The Chinese Virus is responsible for the deaths and the count of deaths and positive test is not accurate. @realDonaldTrump had the best economy before the Chinese Virus and it is coming back already. Seriously you are just being an idiot,"NO DM's - NOT HERE TO DATE

Proud Deplorable 
🇺🇸 MAGA🇺🇸 Outspoken Conservative
Here to follow my wonderful Pres & to connect with other MAGA people",California 
,,"RT @RemainRevoke: @PippaCrerar I'm pro vaccine - I remind my older relatives to have theirs &amp; my kid had theirs

But is there any data on r…",Trees are nice!! uber buffy fan. Made of coconut macaroons. The virus has not gone away yet!! Climate anxious 3.5%,Maskless secondary school 💔
,,"RT @BernieSanders: The fact that Jeff Bezos increased his wealth by $13 billion in 1 day during a pandemic, while his employees struggle to…",be kind🦋,"Tinley Park, IL"
,,"RT @TrumpRulzz: OMG in Palm Beach county FL only 169 cases out of 581 deaths listed were DIRECTLY related to Covid!! 

This will NEVER be c…","They Repeat A Repetition Of Lies Until It Becomes Accepted Truth.
2020
Make Science Real Again.",Worldwide
,,"RT @drdavidsamadi: We are asked to do three things to eliminate this virus:

1. Social Distancing
2. Wearing A Mask
3. Practice Good Hygien…","Christ believer, marketing consultant, licensed insurance agent, twin, ❤ my Vietnam Vet husband & rescue pibble. Only DM if you're gonna buy insurance 😁
#MAGA","Eternity with my Lord, Jesus"
,,RT @StephenKing: Women in command (like Maine's Janet Mills) have done a far better job of dealing with COVID-19 than men have. Less tireso…,,Planet Earth
,,RT @rmayemsinger: 100% this is happening to the USPS right now. Trump's Postmaster General lackey is deliberately corrupting our mail servi…,,"Sioux Falls, SD"
ottnews,,"RT @ctvottawa: NEW: Twitter is singing along with @ottawahealth as it asks you to be ""COVID-wise"" and ""wear a mask.""  #ottnews 

https://t.…",I love with all my heart and I am extremely loyal.,
,,"RT @SonexStella: [TRANS] Everyone heading home from work 
I’m heading to work","Love's Seojuhyun //เอ็นดูน้องฉามจุด(•́ .̫ •̀:· )
#PrivateLives #MoreThanFriends",26/02/2014
,,RT @rudegalsavz: Call that “Covid in the blood” https://t.co/ZP8LplUWib,"🇧🇸 He/Him
× Dancer
× Educator
× Pro-Black
× Rhythmic Mobility
× Twitch Affiliate",Bahamas
,,RT @queen0fsassgard: Just a reminder that small businesses aren’t Amazon. We can’t always ship out next day. Some of us work in small teams…,✨ Shay | 23 | white | Lesbian | she/her ✨ Cosplayer ✨ idk what I'm doing ✨ if it's gay I'm down ✨ Next con: Fanime ✨ icon: sangled’s character creator (picrew),NorCal
,,"RT @BernieSanders: The fact that Jeff Bezos increased his wealth by $13 billion in 1 day during a pandemic, while his employees struggle to…",I don't have it all and that's alright with me.,
NotMyKid,,"#NotMyKid “COVID damages not only the lungs, but also the kidneys, liver, heart, brain, nervous system, skin &amp; gastrointestinal tract!” There is more to consider than just “LIFE or DEATH” It’s “EVERYTHING in BETWEEN” we should FEAR! Soon HUGE healthcare costs r “Coming 2 America” https://t.co/9hcmAz6Eug https://t.co/P20fmD2mrg",Suburban Female Voter w/voting daughters. NEVER MESS W/a MOTHER! God created all equal not same. Do 2 others as U would have them do 2U.,
SAMBANDH,,"New #SAMBANDH brief on TRAVEL and TOURISM in South Asia;

To read the entire brief, plz visit: https://t.co/d4lENgKyOb https://t.co/UP4vs6Rkgi",Princeton University ‘23 || The Doon School ‘19,"Gorakhpur, Uttar Pradesh"
,"Abia, Nigeria","@officialnairam1 I ve been d 1 seeing myself through. I’m a student and also working but I ve manage to save money to startup a business which I paid for shop since January but due to pandemic I ve spend part of d money &amp; paid my house rent &amp; school fees. Pls sir, can u be of help 🙏🏻",A simple girl by nature,"Imo, Nigeria"
,,RT @bbyches: Essential workers should get a pay raise for working during the pandemic. People working min wage during the pandemic deserve…,commie mommy | she/her | ⚢ | wwu,🌲
,,"RT @DavidCornDC: If you missed this yesterday, take a look. And imagine lying about the death of your grandmother for political purposes.",🌊 California and Florida,"California, USA"
,,"RT @briantylercohen: And there it is. Barron Trump's school will not re-open in the fall, meaning that while Trump is demanding everyone el…",‏‏‏‏ابراهيم محمد عبد الرحمن الحمدان,المملكه العربيه السعوديه
,,RT @YungMiami305: IM TIRED OF CORONA!!!!!!!!!,IG: crissschell | Snap: crischellrayvon | TIKTOK: Crischell Brown,"Houston, TX"
Covid,,RT @B52Malmet: @DavidCornDC Stephen Miller lies about his grandma’s death from #Covid. Mr. American Carnage is as cruel and sociopathic as…,My son: What do you want in your bio?____ Me: I don’t want anything.__________________ (She/her),
,,"RT @greearwebb: Medical Experts: The fastest-growing group for COVID-19 infections in North Carolina right now is those 18-49. 

UNC and th…",1 9 0 6 | He/Him | App State 🏔,Tre Fo
COVID19,,RT @RepJohnCurtis: There is strong and growing evidence that Chinese officials accelerated the spread of #COVID19 by choosing to not take e…,#科勞手足 #FollowBackHK #FollowBackHongKong,United States
,,"RT @charliekirk11: Anthony Fauci sitting at a baseball stadium he has to himself on Opening Day, with no social distancing and not wearing…",,"Bethany Beach, DE"
,,"RT @peterbakernyt: The surge in the United States is so extreme that, once adjusted for population, 10 states are recording more new cases…",Army Veteran Peace ✌️ Not War!!,New York
IA02 COVID19,,"#IA02 contains Columbus Junction; Rep @daveloebsack responds to report by @AP's @rjfoley that @IAPublicHealth lowballed number of #COVID19 cases at Tyson plant. https://t.co/kU12c4QY2I
Per @natalie_krebs, state health department was still giving out inaccurate number last week. https://t.co/eD5ftBIt6k","Reporter, commentator covering Iowa politics for the progressive website Bleeding Heartland. Was called ornery by one state lawmaker and a traitor by another.","Windsor Heights, Iowa"
,,RT @JoeBiden: This was preventable. https://t.co/NWaHXW8U4K,Writer: literature/short stories/poetry/prose. Thought Harpy.,Los Angeles
