hashtags,place,text,user_description,user_location
corona CoronavirusOutbreakindia CoronaVirusUpdate CoronaStopKaroNa,,"""mask pahan kr bahar jaana"" instead of saying ""i love u"" is much better.

.
#corona #CoronavirusOutbreakindia #CoronaVirusUpdate #CoronaStopKaroNa",Nik-hell ke tweets,"Uttar Pradesh, India"
,,"RT @CandiceBenbow: This is Generation Z. 

I want to name that because folks love calling everybody 40 and under Millennials.

Millennials…","💯Taylor Agency. 🧐I just started Social Media, been busy actually building businesses. #1stPhorm. 👊Sports Junkie. Golf Addict 💉💉💉","Tulsa, OK"
,,RT @toriarenee_: This is for CORONA  you big fat white nasty smelling fat bitch why you took me off the motherfuckin schedule with your tri…,✮ VA ✮ long live beam ✮ 【=◈︿◈=】 ✮,"Virginia, USA"
,,"RT @Lollylarry1: Dear @MBuhari, please kindly address Nigerians on this issue of Corona Virus. It seems your speech will stop if from sprea…","I love Jesus 
Pastor W F Kumuyi 
#Mufc
#miqueen",Ifb quickly 
,,"I knew it! Especially the GD flickers, @jasonmsaul https://t.co/lDcdV6Gr6o","Audio-obsessed science/environment journalist figuring life out in rural WA. Creator/Host of Grouse, new #podcast. Filing for NPR, BBC, PRI, Methow Valley News.",Methow Valley WA
,,"RT @KUHAHAHAHA: (RT is appreciated) Hello, since i hv some day off due to corona outbreak, and want to purchase something;; I'M OPENING DIG…","Miya/Roki ↑18. 腐
EN/ID. multifandom. read carrd byf. mainly buat jualan.",✰. SELECTIVE.
,,RT @chandlerriggs: here’s a deleted scene from TWD’s special on corona virus https://t.co/qGuSfyjpK5,"zack de la rocha enthusiast | #makechesterproud she/her, 22","Michigan, USA"
,,RT @HamzaKhalyd: Whole Punjab rightnow 💯❤️,"Retweets are not endorsement......IT Officer, Future Leaders International Pvt. School Abu Dhabi",United Arab Emirates
,,"@pulte We hope you and others can get involved with this meaningful gesture to save thousands of life again. It worries people about the damage Corona virus is causing in the west, what about our country with weak health system? The only way we can be save is through prevention.",God's Plan,Monrovia
,,RT @Biancaixvi: Corona day 3: it just feels like Sunday again and...again,"🇲🇾 | ⛪ 
mostly graphic designer, sometimes illustrator, always tryna be a creative

ig: @adellexadr",
,,"RT @CandiceBenbow: This is Generation Z. 

I want to name that because folks love calling everybody 40 and under Millennials.

Millennials…",Trabajadora y estudiante.,"Santiago, Chile."
,,Leaving thts corona https://t.co/DDirucEgcx,FREESALU #MW💜 “Doonaro”💽 #BLACKLIVESMATTER,
,,"RT @PoojaMedia: A road campaign into markets &amp; communities. 

Use of community radios to sanitize &amp; educate people.",You know what? I'll let you decide. #TeamArsenal,Emirates/Kaduna/KL 
,,RT @MLKChefLean: Sharing this because corona  https://t.co/ofBDQE58RJ,"aw shit, here we go again",somewhere cold
,,"RT @iam_johnw: “ 56 % of Californians will be infected by the corona virus over the next 8 weeks “
People who live in California right now…",csulb 22’ |  civil engr. student 👷‍♂️,"Los Angeles, CA"
,,"27. The eternal God is your dwelling place, and underneath are the everlasting arms. He drives out the enemy before you, giving the command, ‘Destroy ""corona""!’ Amen ........Deuteronomy 33","Husband,dad,church minister,civil engineer,project manager, procurement specialist,public affairs analyst.","Federal Capital Territory, Nig"
,,"RT @BlaqsInCricket: Corona VirusSA is currently on 150* off 4832 balls.

Bulk of his runs have come from the Gauteng &amp; the Western Cape reg…",.,Dundee
,,RT @VDPAssociates: Astounding death tally in Europe and Iran.Most likely Communist China faked its data.Indian authorities should be ruthle…,"गति प्रबल पैरों मे भरी,फिर क्यो रहूं दर-२ खड़ा।जब आज मेरे सामने है रास्ता इतना पड़ा।",भारत
OpenSource DataScience COVID19 Coronavirus SAS Rstats Python Code SQL,,"RT @clinarmo: #OpenSource #DataScience to Fight #COVID19 #Coronavirus

https://t.co/EZ9JmgEEW6

#SAS #Rstats #Python #Code #SQL #Programmin…",Sam-I-am: Hacking Chaos Architectures 👺 Stuck between parallel perceptions 👀 poking one toe thru 🧘‍♀️Data & SEO ☔️⚡️✨🌟🌈⛈🦑🐍🦂🦋wait what was that? 🎭,"West Midlands, England"
USAMarafiki,,RT @USAmbKenya: Day 5 teleworking. Still no reason  to fear Corona. Community leaders are stepping up in Kibera. #USAMarafiki &amp; Kenya are f…,"𝘾𝙄𝙑𝙄𝙇 𝘼𝙑𝙄𝘼𝙏𝙄𝙊𝙉

🔸️PAID TO THINK 🔸️ ᴳᵒᵛᵉʳⁿᵃⁿᶜᵉ 🔸️ ᴴᵘᵐᵃⁿ ᴿⁱᵍʰᵗˢ🔸️ ᴬᴰⱽᴱᴺᵀᴵˢᵀ 🔸️ˢᵖᵒʳᵗˢ ᴱⁿᵗʰᵘˢⁱᵃˢᵗ🔸️@ChelseaFC fan",Global Citizen 
,,Most cases of Coronavirus aren’t severe within the young public. Don’t spread false information. https://t.co/GOBEFE5FQy,“Black Mother’s tears keep the graveyard grass green”,"California, USA"
,,"RT @joshua1eo: If we stay in isolation is that okay?
Is it okay if I call you my Corona bae? https://t.co/aXxrKt3qPI",20 || 🇸🇴 || insta: s.adnx_,ur mum 
,,RT @bainjal: Kanika Kapoor sings special song for PM Modi at UK’s Wembley Stadium https://t.co/GiMYeo7G04 is this why Kapoor escaped mandat…,Retired Air force officer,
,,do not associate me w this generation https://t.co/t5aqpDApTi,trh •• goonies never say die •• make sure you hug your dog today,"Wichita Falls, TX"
,,"RT @CandiceBenbow: This is Generation Z. 

I want to name that because folks love calling everybody 40 and under Millennials.

Millennials…",IG/SC: Ash_cuban,"Houston, TX"
,,"for UPLOAD whatsapp 0950531135

https://t.co/9odtfgJsIR",ZAMBIANMUSICPROMOS IS A CHEAP WEBSITE 24/7 BUSINESS HOURS WORK WITH US YOU NEVER GO WRONG....,Zambia
,,"RT @RSSorg: May all of you prepare your families to have the forbearance to meet the situation, play a constructive role in creating social…","https://t.co/NrwM7LeKdD…
https://t.co/f4AjF23qif
views are strictly personal.",
,,RT @TheLifeOfNayy: Y’all dirty mfs brought corona home from Miami &amp; now it’s increased by 88% in 48HRS ....,👻: jaazz_meenn,ATX
,,"RT @BernieSanders: Right now 87 million Americans are uninsured or underinsured.

Our profit-driven health care system is a danger to our p…",,Our Street & Part of Ashley St
,,"RT @BernieSanders: Right now 87 million Americans are uninsured or underinsured.

Our profit-driven health care system is a danger to our p…",woman inherits the earth. she/her,
,,RT @lmgriffjohnson: okay corona im bored now,instagram; ssofiiik 😼,
,,"The COVID19 reminds us that QUALITY HEALTH CARE for all is a matter of right not a privilege. The CORONA virus doesn't care about race, gender, sexual orientation, economic class or immigration status. 

Trump is dumb to call this a Chinese virus.😁😁😁",Ang KILIG ay BIYAYA..😇😇,"Petra, Greece"
,,RT @BulelaniCiki: You and your family shall see the rising of corona virus and you shall witness the falling of it ; without being affected…,"#AmapianoIsALifestyle. 

Run your own race. Bophelo ase comrades marathon_ @focalistic","Johannesburg,South Africa"
,,Ensure Continuity of supply of medical Equipment to Cope with Corona virus: World Health Organization https://t.co/4wQ74bnfrF https://t.co/CdinDSDN2O,Seekhlo Pakistan,"Multan, Pakistan"
,,"RT @D0MXNXQUE: THEN WHY IS IT A PANDEMIC
THEN WHY IS IT A PANDEMIC
THEN WHY IS IT A PANDEMIC
THEN WHY IS IT A PANDEMIC
THEN WHY IS IT A PAN…","healing, growing, and evolving. | nigerian 🇳🇬| ig: simplykamri",Philly
,,"@itsdanielleruss Big fan Hope Mikaelson 🥰🥰 i m from India 🇮🇳 , Corona virus is most affected virus in many countries and you also stay safe and take care 😘😘",,
IndiaFightsCorona,,"RT @narendramodi: The young actors have something to say..

Its time to be 'Zyada Savdhan' and do 'Corona ka Punchnama'! #IndiaFightsCorona…",,
,,"RT @cnehshuga: Corona will have y’all staying at home &amp; asking your families “Otherwise, nisaphila? Aysazani”","I am what the word of God says I am, I can do what the word of God says I can do..I am a child of the Most High God, I am....Daughter of Zion.....",Johannesburg
,,"RT @itsbrittanydawn: beautiful things during corona virus:

• stronger relationship with God
• much needed stillness + rest
• much more tim…",,
,,@imchoudhary31 @PawanKalyan @narendramodi @AmitShah @nsitharaman @Sunil_Deodhar @blsanthosh @v_shrivsatish 1st corona case identified in Vizag today morning and the patient shifted to isolation. https://t.co/qD3RHCsDsj,,देसी हिंदु 
,,Force force 💪🏾💪🏾💪🏾💪🏾 https://t.co/5fMdGyL7Pa,Fan incontestable des RedDevils🔴⚪️🔴⚪️,Old trafford
,,RT @berlamundi: So Israel is tracking its civilians using their cell phones to know if they’ve come close to anyone carrying the Corona htt…,De Simplest Way To Become My Enemy Is To Hate @ShattaWaleGh🔥™ ||CHELSEA FC🌎||El Chairmano||Kuami Eugene||Joey B....🎶👑,A GHANA MI SEH🇬🇭🇳🇬🇱🇷
,,"I always with PMO and follow instructions.
Also request to opposition to come out from CAA and join with nation to fight against CORONA## https://t.co/GLtDPGWOxD",,
,,RT @thetalesofvic: someone tweeted that covenant university wants us to resume so they can do corona test and add it to our balance brought…,,
,,RT @AnupamPKher: Landed in Mumbai from NY. It was so gratifying to see how strictly but politely &amp; competently our authorities at the airpo…,Sometimes life doesn't give you what you want not because u doesn't deserve it but because u deserve so much more and more ♥️💐,india
,,Ah Tim Martin.  His attitude to Brexit and Corona shows he should be interviewed as an expert in precisely fuck all. https://t.co/8K3SEN7cjo,"Tea, music, geekery, politics, parenting, cheese enthusiast and Dutch stuff.",Zaandam
,,RT @tasha__koh: Please do not have sexual intercourse infront of your children for this will then be their “normal” and god knows in what w…,aku betul betul jatuh tersungkur kalini,
IndiaFightsCorona,,"RT @narendramodi: Let us heed these important words of our champion shuttlers. #IndiaFightsCorona

https://t.co/oLNZSoYMoI

https://t.co/Hy…",,
,,RT @Ekwulu: The same Tolu Ogunlesi that insisted that Mr Jonathan must hold a Presidential media chat to address Nigerians on Ebola is the…,🤗🤗,"Benin-City, Nigeria"
,,"RT @msredlippie: My housemate went for a walk and has been coughing since he got back 😐😐😐. House mate cos this corona times, every man for…",20| @diasporadid ❤️| Founder of @warwickghanasoc 🇬🇭 | Miss Ghana UK; Miss Eloquent 2019✨ | Neurodiverse asexual🙏🏻,
,,That's why education is important 🐐🐐 https://t.co/WuRpvqjDEo,,
,,RT @NSaina: I pledge that I'll strictly follow Janta Curfew this Sunday frm 7am to 9pm so that we strengthen India’s fight against the Coro…,"Dromomania😍😍
Mahira sharma❤❤
Her official id @_MahiraSharma
Inspiration 💝",India 
,,"Uh, this sucks. https://t.co/Fu4wPUwXjF","My name's Duke Nukem
Fan Account 
MainIy I explain this world in Duke Nukem Quotes


BTW You're an inspiration for birth control!",Vienna
,,"RT @CBSNews: “If I get corona, I get corona. At the end of the day, I'm not gonna let it stop me from partying”: Spring breakers are still…",out the mud w nun to lose . @TheMobTM @RipxSean,𝐯 /  ⁹⁹⁹ / 2900
,,RT @goodbeanaltalt: holy shit I hate every person in this video,mostly twice | fan account | retweeter 🤪 | 🌒 | inactive,
,,RT @joncstone: Germany’s economy has a built-in stabiliser for recessions that will come in handy during the COVID-19 outbreak – Kurzarbiet…,"Artistic pleasure provocateur, passionate activist, creative thinker.",london
Corona,,RT @MJibranNasir: Just got informed by the doctors at the #Corona virus Control Room that I tested negative Alhumdulillah. I will still con…,progressive values zindabad,Waterloo
,,"RT @jabinbotsford: Close up of President @realDonaldTrump notes is seen where he crossed out ""Corona"" and replaced it with ""Chinese"" Virus…","Thessaloniki-Istanbul-Sydney-Melbourne. Interpreter (NAATI) love of languages, far away places, gender equality and social justice.","Melbourne, Victoria 🇦🇺"
CoronaStopKaroNa,,RT @manupunjabim3: I do everything for you guys for your happiness thank you for your love and support I love you all.. #CoronaStopKaroNa #…,DO JISM EK JAAN 💞 #SidNaaz ”Kya karu main mar jau meri koi feeling nai hai”. “Ha hai mujhe problem batau that i like you that’s the problem.”,"Kolkata, India"
,,RT @MakedaMorrison: Day 5: We have rediscovered farming,nonsense. and live tweeter #dateline #chiefskingdom #maskedsinger #thisisus #agt #WearADamnMask,"Kansas, USA"
,,"RT @RichifyMeClub: Few personal finance lessons that will help us survive Corona &amp; other crisis:

1. Emergency fund worth 1-year of expense…",Stock trader! Trend follower! banker!,"Dubai, United Arab Emirates"
,,"RT @ioproducer: There was a nasty flu that went round in December / early Jan. I’m telling you, that was corona. Bare ppl were sick (includ…",A Young Dream Chaser Seeking Grace From God! 🙏🏾 Snapchat:@Jomofawaz1,"Tamale, Ghana"
JustAsking,,RT @prakashraaj: what hit us first.....  CORONA .. or. KUCH MAT KARONA .. #JustAsking https://t.co/GT7SC9XZtF,लिखते रहिये  आदत बुरी नहीं है.....👍👍👍,
,,"2020 til now

•Corona virus
•Australian bushfire
•F-16 crashed
•Exams cancelled
•Psl cancelled
•Parade cancelled

Worst year of decade..💔","•Click the blue button°😊
•Trying to make your day°❤
•Multiple Admins°
•Multiple Thoughts°",
,,Welcome to Fidelis Chidi 's Blog: Coronavirus: Mountain of Fire Ministries (MFM) sus... https://t.co/luFEtwAUXd,A medical doctor  and a Blogger. Providing for humanity is my goal, asdatguy@gmail.com
Corona KanikaKapoor COVID19,,"RT @AndhraBoxOffice: #Corona starts hitting Bollywood.

Singer #KanikaKapoor tests positive for #COVID19. She returned from UK last Sunday,…","Kpop lover 
EXO, WINNER,BIGBANG,BLACKPINK, TREASURE13,NCT,MONSTAX, DAY6, Ikon,N.FLYING, KARD,AKMU,
LEE HI & The Rose",
,,RT @Stout97_: 2 weeks? it’s a fucking global pandemic not a hamstring strain.,19 🦋🇲🇽,arizona!
,,"RT @avocadovsz: corona or no corona, staying away from people is always a good idea.",et puis après plus rien,"France, Toulouse"
COVID19,,"Looking at the trillions in public loans, stimulus and bailouts being put on the table by governments across the globe to battle #COVID19, after Corona ""it's too expensive"" is no longer an excuse to fight climate change.
https://t.co/1UhB11Yz7E",Journo in Berlin: ⚓/🇺🇸 analysis @dwnews; 🇩🇪 news 📻 @kcrwberlin; 🎙️ @neuschlandpod; and some 🖊️@washingtonpost. Views my own: astigmatic and colorblind.,"To your left. No, other left."
,,"RT @afreenusman1: As a doctor my self and as  wife of a doctor who is working with Corona Virus patients, let me assure you that we don’t w…","#son of farmer 
#writer
#thinker
#observer",Maharastra
,,"RT @sardesairajdeep: As the PM prepares to interact with state CMs, the one state he and others may wish to hold up as a exemplar in fight…",,
,,RT @Biancaixvi: Corona day 3: it just feels like Sunday again and...again,FA's | You're my never ending thought 🖤,
,,RT @MakedaMorrison: Day 5: We have rediscovered farming,ig: shgnz_g // caen,
,,"RT @CandiceBenbow: This is Generation Z. 

I want to name that because folks love calling everybody 40 and under Millennials.

Millennials…",A’Mourás mommy. Be smart. CEO of @LamouraCo. She/Her.,
,,RT @jrockg8000: Not just any 4/20. This was a monthlong 4/20 y’all. I’m mad,THE Dragon breathing fire 🔥,
,,"RT @Chloelhaley: Can everyone just stay at home please so that corona fucks off quickly and then we can carry on and enjoy our summer, fest…",~ 🇲🇽 🇵🇭 ~,HOU
,,RT @MLKChefLean: Sharing this because corona  https://t.co/ofBDQE58RJ,- ailurophile,
,,RT @zairfulradzuan: everyone coming out of corona as barista,20❤️ Instagram: ashleyluv101 - Cashapp/Venmo/PayPal: ashleyluv101,
,,RT @MakedaMorrison: Day 5: We have rediscovered farming,"Perdido.  Asomé la cabeza a ver que se cocía, alguien me encadenó y aquí sigo, anclado en la tontería.",Por doquier
,,"RT @OpIndia_com: Watch: Coronavirus is a ploy by Amit Shah and Kejriwal to remove us, claims Shaheen Bagh 'protestor' https://t.co/V4Tw3H6z…",Nationalist,Bangalore
,,And bad governance😏😏 https://t.co/7Kv2XcHrTH,"epitome of human with definitely unstable emotion ||
RN || I want to have someone who see the world the same way.",
,,RT @RealSupreme50k: Corona Virus making everybody scared to make money lol closing down stores n shit,BZR50K@gmail.com,Canada
CoronavirusOutbreakIndia Corona Quran,,RT @TarekFatah: A Muslim activist in India claims #CoronavirusOutbreakIndia will not harm Muslims as the word #Corona comes from the #Quran…,@gogoxoom on Parler. Father. Software Designer. An American with Christian Conservative values. Empathetic of others but observant of the nonsense.,
,,RT @narendramodi: Athletes and achievers from various sports are raising awareness about the nation’s battle against Coronavirus. Let us ta…,"हे प्रभु 🙏
 मेरे जीवन में स्वार्थ की दुर्गंध ना आए, परमार्थ की सुगन्ध से जीवन महकता रहें।",सत्यता
,,@SavinTheBees Aye I’m proud that everyone is acknowledging my efforts to contain the corona virus🙏🏼,,"Louisiana, USA"
,,"RT @MABIN2_: Corona please. We are tired, we get it.",bitchin,"Houston, TX"
CoronavirusOutbreakIndia Corona Quran,,RT @TarekFatah: A Muslim activist in India claims #CoronavirusOutbreakIndia will not harm Muslims as the word #Corona comes from the #Quran…,"Ram Mandir Ban Raha Hai!
Jai Ho!
Bharat Mata Ki Jai
Kothari Brothers Are my idls🔱!
Jihadi door rahen nahi to...🤬🤬
Minority reservation ka revision ho!",🚩Hindu Rashtra Bharat🚩
,,"RT @SavinTheBees: Media: The corona is spreading quickly

Guy who only drinks IPA: That’s why I only drink IPA.",(he/him) I’m a big ass geek / bi 🌈,
janatacurfew againstcorona indiafightscorona travelfundaa travelgram travelindustry flights airways hotels tourism summer delhi pune mumbai bangalore corona covıd19,,Entire Travel Community Stand Strong Together. We Support @narendramodi Ji ‘s Initiative #janatacurfew &amp; Fight #againstcorona #indiafightscorona #travelfundaa #travelgram #travelindustry #flights #airways #hotels #tourism #summer #delhi #pune #mumbai #bangalore #corona #covıd19 https://t.co/7PrOLzXMO1,Live & Let Live ✌️| KARMA 😎| Symbian 🎓 | Entrepreneur 💸| 🇮🇳,India
,,"RT @CandiceBenbow: This is Generation Z. 

I want to name that because folks love calling everybody 40 and under Millennials.

Millennials…",,Massachusetts
SaluteCoronaFighters,,"Salute, all Docs and paramedic staff for on front line in the war against Corona,Govts must take solid actions for their safety and well being,providing them masks,gloves, sanitizers and other safety equipments, one dr alive can save thousands close to death #SaluteCoronaFighters","Writer, analyst",paris
,,We'll be waiting sir! 😂 https://t.co/F23NzMN9yf,i wanna be different just like everyone else,👾
covid19kenya Covid_19,,"RT @impacthubmedia: Hope for slum dwellers amid corona virus fears
https://t.co/yrOKgnERex
 #covid19kenya #Covid_19 @GardenofhopeFdn @hope2…","Ass. Comms Officer @GardenofHopeFdn
#Restoringhope","Nairobi, Kenya"
,,RT @lekalatgi: Our parents managed to stay away for nothing during apartheid for years. We can stay away for weeks as well to avoid this Co…,"I dare not linger, for my long walk has not ended.",
,,"RT @CandiceBenbow: This is Generation Z. 

I want to name that because folks love calling everybody 40 and under Millennials.

Millennials…",All Lives Don't Matter Until Black Lives Matter,
,,"RT @no_silenced: Abortions are taking up medical supplies that we need right now for this Pandemic

Masks, Gowns, Gloves, Medications, Bed…",#KAG #AmericaFirst #Patriot #WalkAway #Trump #IStandWithGenFlynn #Buckeyes I fb patriots. Not all follows are endorsements! #fo76,SE Ohio
Covid_19 CoronaVirusUpdate StayAtHome Corona CoronaCrisis,,"created in an age of lies , Covid-19 sudah ada 😥😵 #Covid_19 #CoronaVirusUpdate #StayAtHome #Corona #CoronaCrisis https://t.co/nyD39jgy3u",,"Tangerang, Indonesia"
NotMeUs,,"@ioproducer I had a “flu” about a month ago that was AWFUL. Coughing, fever, I couldn’t even breathe and I felt like I was drowning in mucus. Work wouldn’t send me home and I’m a temp so if I called in I got fired. I work in a nursing home. If I had corona people could have died. #NotMeUs",A socialist revolution is necessary and inevitable. Organize your neighborhoods #blacklivesmatter #freepalestine,"Oregon, USA"
AlisonHackett coronavirus Covid_19 TheVisualTimeTraveller,,"Latest blog #AlisonHackett Has the Corona virus broken capitalism? https://t.co/0jseRNzgNJ

""Most of us have lost the ability to understand the difference between what we need and what we want""

#coronavirus #Covid_19  #TheVisualTimeTraveller @thejournal_ie https://t.co/7syDTShstH","Writer, Publisher
https://t.co/4DSH1OeFqw
Irish, from Cork","South Dublin, Ireland"
,,@DVSAgovuk is it true that those providing essential services like NHS staff and military can request for emergency test if they have had their booked test cancelled due to corona virus pandemic?,Calm and intense,"London, England"
,,RT @periiodt: i know i shouldn’t laugh at corona jokes and memes but........... https://t.co/RycS0YwwUz,"happy and sad at the same time.
a day dreamer & a night thinker 🐾",🇮🇩
,,"RT @tinaishematope: Not a Gaddafi fanboy, but he knew how the principalities of darkness operate.",It is a rough road that leads to the heights of greatness.,capetown south africa
,,"RT @Meherr_: Tell them to stand on their balconies and do a dance. If clapping can help with preventing the spread of COVID19, dancing woul…",My Original handle @Nikhil_P_B Got suspended for 7 days as i advocated for H@nging of Traitor SC judges who ordered murder of Afzal Guru. #CollectiveConscience,
economic Germany,,RT @kielinstitute: It doesn't get any better than this: here is the optimistic V-scenario for the #economic situation in #Germany. #ShutDow…,Immobilienmarkt-Verstehen-Woller - und auch sonst recht wissbegierig / Head of Research @SavillsGermany + Leiter Kompetenzgruppe Immobilienmarkt-Research @gifev,Berlin
,,"RT @ShahNafisa: Thank you for sharing this beautiful song by artiste Nigora Kholova, a Tajik singer. Pakistani singers should try its Urdu…","Proud Follower of Bhuttoism |Political | Proud Pakistani | Fashion Lover |
Tweets are Opinion","Islamabad, Pakistan"
,,"RT @K_JeanPierre: It’s not only racist but deliberate. For those who believe, he says whatever comes to mind —- well, here is proof that it…","Retired teacher, progressive, wanting a better world for my grandchildren to inherit. RT's do not imply agreement.",Southwestern US
,,RT @MakedaMorrison: Day 5: We have rediscovered farming,,
,,"RT @DjMaphorisa: Morning Sauta🙏🏾 No corona virus formed against us shall prosper, my good people we live on the 9th August only 2k tickets…",:Child Of God : Legend In The Making : Entertainment Radio & Dj Talent : Music Enthusiast : FB @TebogoIsaacShikwane : Email @ Isaactebogo687@gmail.com,Pretoria
